"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Comfort Station – W + Family (1809)","M","107","6","M071",,"XX-005","Wall",,"M071-ZN20","M-14","24","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","1809","1809-005","Installed","Consolidated Rules Sign","Hudson Beach Volleyball Courts & Café","48344","Chinese","10024","POINT (-73.97196732831368 40.80244055138331)"
"Playground - Adults Allowed (2600)","Q","404","25","Q361","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"Q-04","110","Broadway., 82 St., 45 Ave.","Moore Homestead Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"26411","Chinese","11373","POINT (-73.88174214411245 40.74211296962598)"
"Athletic Field / Court - Hours (1500)","B","304","37","B139",,"XX-005","Chain Link Fence - 2""",,,"B-04","83","Linden St. bet. Central Ave. and Wilson Ave.","Heckscher Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"31429","Chinese","11221","POINT (-73.91856985843985 40.69522303477786)"
"Playground - Adults Allowed (2600)","X","206","15","X252","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","Wrought Iron / Steep Picket Fence",,,"X-06","48","Washington to Bathgate Av bet. W 181 St and E 183 St","Bathgate Playground","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,"33751","French","10457","POINT (-73.89410703868914 40.85226018644084)"
"Athletic Field / Court - No Hours (1501)","Q","409","28","Q129",,"XX-005","Chain Link Fence - 2""",,,"Q-09","102","Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.","Phil ""Scooter"" Rizzuto Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign",,,"Chinese","11419","POINT (-73.82168714373064 40.694681778602465)"
"Map","B","355","39","B073",,,"None / Free Standing",,"B073-ZN04","B-19","78","Prospect Pk W, Flatbush, Parkside, Ocean Aves","Prospect Park",,,,"Installed","Wayfinding Sign","The Bandshell","31729",,"11215","POINT (-73.97938811958626 40.66122407468878)"
"Comfort Station","Q","414","32","Q389",,"XX-008","Wall",,,"Q-14","100","Beach Channel Dr. bet. Beach 104 St. and Seaside Ave.","Bayside Playground","Spanish",,,"Surveyed","Consolidated Rules Sign",,"27734","Russian","11694","POINT (-73.82499076713084 40.584980345715984)"
"Athletic Field / Court - Hours (1500)","M","111","8","M104",,"XX-005","None / Free Standing",,"M104-ZN02","M-11R","25","East River and Harlem River","Randall's Island Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Sunken Meadow",,"Chinese","10035","POINT (-73.91541023804335 40.794788124023434)"
"Park without Dog Run; No Off-Leash (2401)","X","203","17","XZ210",,"XX-001","Wrought Iron / Steep Picket Fence",,"X010-ZN02","X-03","42",,,"Spanish","2401","2401-001","Installed","Consolidated Rules Sign","Crotona Zone 2",,"French","10457","POINT (-73.89755020502402 40.836741248158575)"
"Athletic Field / Court - Hours (1500)","M","103","2","M165",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-03","7","Corner of Baruch Pl. and Mangin St.","Baruch Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,,"Chinese","10002","POINT (-73.97743210144056 40.716830852937434)"
"Park with Dog Run; Off-Leash Ok (2400)","M","109","7","M071",,"XX-005","Wall",,"M072-ZN27","M-14","30","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","2400","2400-005","Installed","Consolidated Rules Sign","Riverside Dr. Pedestrian Zone G",,"Chinese","10031","POINT (-73.94989344852307 40.830989492654936)"
"Playground - Adults Allowed (2600)","Q","408","24","Q294","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"Q-08","107","73 Ave., Jewel Ave. bet. Utopia Pkwy. and 179 St.","Utopia Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"28134","Chinese","11365","POINT (-73.79148731826386 40.73065940932749)"
"Athletic Field / Court - No Hours (1501)","B","308","36","B012",,"XX-007","None / Free Standing",,,"B-08","77","St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.","Brower Park","Spanish","1501","1501-007","Installed","Consolidated Rules Sign",,"29971","French Creole","11213","POINT (-73.94428833825518 40.67356381815569)"
"Trail With Hours / Exterior (3201)","Q","411","19","Q452",,"XX-016","None / Free Standing",,,"Q-07A","111","Northern Blvd., 244 St. to 247 St., Douglas Rd., Little Neck Bay","Udall's Park Preserve","Chinese","3201","3201-016","Installed","Consolidated Rules Sign",,,"Korean","11363","POINT (-73.74239625701452 40.76691418355483)"
"Athletic Field / Court - Hours (1500)","Q","413","23","Q328",,"XX-007","Chain Link Fence - 2""",,,"Q-13","105","85 Ave. bet. 248 St. and 249 St.","Bellerose Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"47538","French Creole","11426","POINT (-73.7177934649936 40.73249970703483)"
"Athletic Field / Court - Hours (1500)","M","111","8","M107",,"XX-005","Chain Link Fence - 2""",,"M104-ZN04","M-11R","25","East River and Hell Gate","Wards Island Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Central Spine","48272","Chinese","10035","POINT (-73.92780799350783 40.78770636171323)"
"Trail (3200)","X","212","12","X046",,"XX-001","Wall",,"X046-ZN01","X-12","47","E. 233 St. bet. Seton Ave. and Baychester Ave.","Seton Falls Park","Spanish","3200","3200-001","Installed","Consolidated Rules Sign","Seton Falls Park Zone 1","33205","French","10466","POINT (-73.83998123940064 40.8866657839595)"
"Playground - Children Only (2601)","B","313","47","B106A","6:00 a.m. to 9:00 p.m.","XX-015","Wrought Iron / Steep Picket Fence",,,"B-13","60","W. 13 St., Stillwell Ave. bet. Ave. U and Ave. V","Scarangella Park","Chinese","2601","2601-015","Installed","Consolidated Rules Sign",,"31179","Russian","11223","POINT (-73.98347128411356 40.59375058804147)"
"Playground - Adults Allowed (2600)","B","301","33","B142","6:00 a.m. to 9:00 p.m.","XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","90","Bedford Ave. bet. S. 9 St. and Division Ave.","Bedford Playground","Spanish","2600","2600-006","Installed","Consolidated Rules Sign",,"29977","Yiddish","11211","POINT (-73.96411264515926 40.70858480295978)"
"Playground - Children Only (2601)","Q","405","30","Q302","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"Q-05","104","St Felix Ave. bet. Seneca Ave. and 60 Pl.","Evergreen Park","Spanish","2601","2601-005","Installed","Consolidated Rules Sign",,"27466","Chinese","11385","POINT (-73.89631708212748 40.69722446646918)"
"Combo: Playground / Court (2602)","Q","408","23","Q221",,"XX-005","Chain Link Fence - 2""",,,"Q-08","107","73 Ave. bet. 195 St. and 196 Pl.","Farm Playground","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,,"Chinese","11365","POINT (-73.77815537528927 40.73597107901115)"
"Park without Dog Run; No Off-Leash (2401)","Q","407","19","Q445",,"XX-005","Pipe Rail",,,"Q-07","109","14 Rd. bet. 132 St. and 138 St.","Frank Golden Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","11356","POINT (-73.8346809016302 40.785456764280006)"
"Park with Dog Run; No Off Leash (2403)","X","226","11","X092",,,"None / Free Standing",,"X092-ZN12","X-13","50","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Van Cortlandt Park",,"2403","2403","Installed","Consolidated Rules Sign","Allen Shandler Rec Area","33448",,"10471","POINT (-73.88040520780905 40.89504627928444)"
"Playground - Adults Allowed (2600)","X","209","18","X262","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-004",,,,"X-09","43","Bolton Ave. bet. O'Brien Ave. and G St.","Harding Park","Spanish","2600","2600-004","Installed","Consolidated Rules Sign",,"33789","Bengali","10473","POINT (-73.85642695219614 40.80943422247103)"
"Athletic Field / Court - Hours (1500)","B","301","34","B257",,"XX-006","Chain Link Fence - 1""",,,"B-01","94","Frost St. bet. Debevoise Ave. and Kingsland Ave.","Frost Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"30120","Yiddish","11211","POINT (-73.93883691951905 40.71861679785569)"
"Trail With Hours / Exterior (3201)","R","503","51","R047",,"XX-017","None / Free Standing",,"R065-ZN10A","R-02","122","Willowbrook Pkwy. from Walker St. to Hylan Blvd.","Willowbrook Parkway","Russian","3201","3201-017","Installed","Consolidated Rules Sign","Amundsen Trail South",,"Italian","10306","POINT (-74.13077602360387 40.56232563941373)"
"Combo: Playground / Court (2602)","B","313","48","B275",,"XX-015","Chain Link Fence - 1""",,,"B-13","60","Shore Pkwy., Brighton 3 St., Brighton 4 St.","Grady Playground","Chinese","2602","2602-015","Installed","Consolidated Rules Sign",,"31423","Russian","11235","POINT (-73.96529872286945 40.58312729358755)"
"Park without Dog Run; No Off-Leash (2401)","X","205","15","X017",,"XX-001","None / Free Standing",,,"X-05","46","Valentine Av bet. E Tremont Av and E Burnside Ave","Richman (Echo) Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,,"French","10457","POINT (-73.90101010012319 40.84949389736896)"
"Athletic Field / Court - Hours (1500)","B","305","42","B371",,"XX-008","Chain Link Fence - 2""",,"B371-ZN01","B-05","75","Shore Pkwy and Seaview Ave., Schenk Ave.","Spring Creek Park","Spanish","1500","1500-008","Installed","Consolidated Rules Sign","Spring Creek Park Zone 1","29285","Russian","11239","POINT (-73.87389523101945 40.64823810165184)"
"Combo: Playground / Court (2602)","Q","411","20","Q300A","6:00 a.m. to 9:00 p.m.","XX-016","Chain Link Fence - 2""",,"Q300A-01","Q-08","111","Peck & Underhill Aves, Utopia Pkwy, Horace Harding","Kissena Corridor Park","Chinese","2602","2602-016","Installed","Consolidated Rules Sign","Underhill Playground","28513","Korean","11365","POINT (-73.78783973947662 40.74439355978985)"
"Comfort Station  – M (1800)","B","302","35","B301",,"XX-005","Wall",,,"B-02","88","Greene Ave. bet. Waverly Ave. and Washington Ave.","Greene Playground","Spanish","1800","1800-005","Installed","Consolidated Rules Sign",,"30029","Chinese","11238","POINT (-73.96585739927411 40.686430730701176)"
"Comfort Station – W + Accessible (1804)","Q","410","32","Q408",,"XX-002","Wall",,,"Q-10","106","155 Ave. bet. 83 St. and 84 St.","Harold Schneiderman Playground","Spanish","1804","1804-002","Installed","Consolidated Rules Sign",,"26207","Italian","11414","POINT (-73.85040665421914 40.66470374760042)"
"Combo: Playground / Court (2602)","B","318","46","B018",,"XX-007","Wrought Iron / Steep Picket Fence",,"B018-01","B-18","69","Belt Pkwy, Seaview Ave Btw: Paerdegat Basin, E 93 S, E 102 St, Fresh Creek Basin","Canarsie Park","Spanish","2602","2602-007","Installed","Consolidated Rules Sign","Dinapoli Plgd","30764","French Creole","11236","POINT (-73.89282526721885 40.630659091729434)"
"Park without Dog Run; No Off-Leash (2401)","Q","401","26","Q104",,"XX-009","Wrought Iron / Steep Picket Fence",,,"Q-01","114","Queensboro Bridge, 41 Rd., 40 Ave. bet. The East River, Vernon Blvd., and 21 St.","Queensbridge Park","Spanish","2401","2401-009","Installed","Consolidated Rules Sign",,"26307","Greek","11101","POINT (-73.94716503767478 40.75671062294103)"
"Beach","Q","414","32","Q163",,"XX-008","Pipe Rail",,"Q163-ZN06B","Q-14","100","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","Rockaway Beach Boardwalk","Spanish",,,"Surveyed","Consolidated Rules Sign","Rockaway Beach 06b","28900","Russian","11693","POINT (-73.81581798583528 40.583341657740455)"
"Track + Athletic Field plus hours (2902)","Q","405","30","Q102",,"XX-005","Chain Link Fence - 2""",,"Q102-ZN01","Q-05","104","Juniper Blvd. bet. Lutheran Ave., 71 St. and Dry Harbor Rd.","Juniper Valley Park","Spanish","2902","2902-005","Installed","Consolidated Rules Sign","Juniper Valley Park Zone 1",,"Chinese","11379","POINT (-73.88400000247451 40.718845440518)"
"Athletic Field / Court - Hours (1500)","X","206","15","X289",,"XX-001","Chain Link Fence - 2""",,,"X-06","48","Mapes Ave., Prospect Ave. bet. E. 180 St. and E. 181 St.","Mapes Park","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,"33269","French","10460","POINT (-73.88611899690132 40.84756976986794)"
"Park without Dog Run; No Off-Leash (2401)","R","501","49","R019",,"XX-005","None / Free Standing",,,"R-01","121","Heberton Ave., Park Ave., Bennett St., Vreeland St.","Veterans Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10302","POINT (-74.13150277404374 40.63679032539724)"
"GT Garden (2000)","B","303","36","B473",,"XX-006","Chain Link Fence - 2""",,,"B-03","79","Hancock St. between Tompkins Ave. and Throop Ave.","Hancock T and T","Spanish","2000","2000-006","Installed","Consolidated Rules Sign",,,"Yiddish","11216","POINT (-73.94305935615228 40.68327615434557)"
"Playground - Adults Allowed (2600)","B","303","36","B237","6:00 a.m. to 9:00 p.m.","XX-006","Chain Link Fence - 2""",,,"B-03","79","Bedford Ave., Hancock St., Jefferson Ave.","John Hancock Playground","Spanish","2600","2600-006","Installed","Consolidated Rules Sign",,"49037","Yiddish","11216","POINT (-73.95517790802434 40.68203817744735)"
"Park without Dog Run; Off-Leash OK (2402)","B","318","46","B057-06",,"XX-007","None / Free Standing",,"B057-ZN09","B-18","63",,,"Spanish","2402","2402-007","Installed","Consolidated Rules Sign","Marine Park Zone 9",,"French Creole","11234","POINT (-73.92000788749918 40.58844407714378)"
"Playground - Adults Allowed (2600)","M","108","5","M081","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005","Wrought Iron / Steep Picket Fence",,"M081-02","M-08","19","East End Av To East River, E 84 St To E 90 St","Carl Schurz Park","Spanish","2600","2600-005","Installed","Consolidated Rules Sign","Catbird Playground","34182","Chinese","10028","POINT (-73.94485197370004 40.774301749268766)"
"Athletic Field / Court - Hours (1500)","Q","410","32","Q095",,"XX-002","Chain Link Fence - 2""",,,"Q-10","106","N. Conduit Ave., 149 Ave., Cross Bay Blvd.","Vito Locascio Field","Spanish","1500","1500-002","Installed","Consolidated Rules Sign",,,"Italian","11417","POINT (-73.84313781385701 40.6703753002783)"
"Park without Dog Run; No Off-Leash (2401)","M","108","4","M280",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-08","19","Second Ave. bet. E. 59 St. to E. 60 St.","Tramway Plaza","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10022","POINT (-73.96447800212727 40.76075641318275)"
"Athletic Field / Court - No Hours (1501)","Q","401","26","Q104",,"XX-009","Chain Link Fence - 2""",,,"Q-01","114","Queensboro Bridge, 41 Rd., 40 Ave. bet. The East River, Vernon Blvd., and 21 St.","Queensbridge Park","Spanish","1501","1501-009","Installed","Consolidated Rules Sign",,"26259","Greek","11101","POINT (-73.94970540692304 40.755685603230646)"
"Park without Dog Run; Off-Leash OK (2402)","B","310","43","B052",,"XX-005","Wrought Iron / Steep Picket Fence",,"B052-03","B-10","68","67 St., 66 St. bet. 4 Ave. and Ft. Hamilton Pkwy.","Leif Ericson Park","Spanish","2402","2402-005","Installed","Consolidated Rules Sign","Leif Ericson Park Playground",,"Chinese","11219","POINT (-74.01053214064378 40.63031851591161)"
"Park with Dog Run; No Off Leash (2403)","Q","482","30","Q015",,,"Other (Leave Comment)",,"Q015-ZN02","Q-16","102","Myrtle Ave, Union Tpke, Park Lane S","Forest Park",,"2403","2403","Installed","Consolidated Rules Sign","Wallenberg Square To Memorial Dr","28485",,"11385","POINT (-73.84097697924405 40.70173363889082)"
"Athletic Field - Synthetic Turf - Hours (1502)","B","318","46","B166D",,"XX-007","Chain Link Fence - 2""",,,"B-18","63","Ave Y., Bergen Ave. bet. Ave. V and Belt Pkwy.","McGuire Fields","Spanish","1502","1502-007","Installed","Consolidated Rules Sign",,"31086","French Creole","11234","POINT (-73.8983547083521 40.61775889182541)"
"Combo: Playground / Court (2602)","B","312","39","B151",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-12","66","Dahill Rd. bet. 37 St. and 38 St.","Dome Playground","Spanish","2602","2602-006","Installed","Consolidated Rules Sign",,,"Yiddish","11218","POINT (-73.97977486367814 40.63822845389601)"
"Playground - Adults Allowed (2600)","Q","412","27","Q106","6:00 a.m. to 9:00 p.m.","XX-004","Wrought Iron / Steep Picket Fence",,,"Q-12","113","197 St., 196 St. bet. 113 Ave. and Murdock Ave.","Daniel M. O'Connell Playground","Spanish","2600","2600-004","Installed","Consolidated Rules Sign",,"26793","Bengali","11412","POINT (-73.7584971815211 40.700444387389076)"
"Athletic Field / Court - Hours (1500)","B","310","43","B028",,"XX-005","Chain Link Fence - 2""",,"B028-ZN01","B-10","68","86 St., Belt Pkwy. bet. Bay 8 St., 14 Ave., and 7 Ave.","Dyker Beach Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Dyker Beach Park Zone 1","30308","Chinese","11228","POINT (-74.01809952411234 40.60537831510736)"
"Marina / Boat Basin","M","107","6","M071",,"XX-005","Wrought Iron / Steep Picket Fence",,"M071-ZN04","M-14","20","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish",,,"Installed","Consolidated Rules Sign","Waterfront Landscape To 89 St.",,"Chinese","10024","POINT (-73.98467434918598 40.786472217012005)"
"Athletic Field / Court - Hours (1500)","Q","407","19","Q476",,"XX-005","Chain Link Fence - 2""",,,"Q-07","109","130 St. bet., 23rd Ave. and 26 Ave.","College Point Fields","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"27531","Chinese","11354","POINT (-73.83648266199357 40.774957986682644)"
"Playground - Children Only (2601)","X","208","11","X080","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","Wrought Iron / Steep Picket Fence",,"X080-03","X-08","50","Palisade Av, Kappock St,  Independence A","Henry Hudson Park","Spanish","2601","2601-001","Installed","Consolidated Rules Sign","Henry Hudson Playground (West)","32680","French","10463","POINT (-73.92002976881524 40.88105604101269)"
