"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"X039-DF0105","D","Out in Open","No","X039","Pelham Bay Park","X039-ZN17","X","1","X-15","D, Out in Open","Active","POINT (-73.79303098921761 40.86887275977577)"
"Q099-DF0251","A","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN08","Q","1","Q-15","A, Under Tree","Active","POINT (-73.83875973826902 40.74478449509412)"
"M088-DF0309","A","Under Tree, In Playground","Yes","M088","Tompkins Square Park","M088","M","1","M-03","A, Under Tree, In Playground","Active","POINT (-73.981327748822 40.72565675138559)"
"B073-DF0913","B","Under Tree, In Shade",,"B073","Prospect Park","B073-ZN01","B","1","B-19","B, Under Tree, In Shade","Active","POINT (-73.97006856535027 40.67192175039113)"
"M010-DF0566","B","Under Tree, In Shade, Out in Open","No","M010","Central Park","M010-ZN01","M","1","M-13","B, Under Tree, In Shade, Out in Open","Active","POINT (-73.97077530019477 40.76779035415015)"
"X123-DF0130","C","Near Ballfield","No","X123","Noble Playground","X123","X","1","X-09","C, Near Ballfield","Active","POINT (-73.87175369655377 40.83764685433224)"
"Q119-DF0538","C","Near Ballfield","No","Q119","Frederick B. Judge Playground","Q119","Q","1","Q-10","C, Near Ballfield","Active","POINT (-73.8086164479226 40.68394295625403)"
"Q015-DF0845","E High Low","Out_in_Open",,"Q015","Forest Park","Q015-ZN06","Q","2","Q-16","E High Low, Out_in_Open","Active","POINT (-73.8580083645275 40.698211148309966)"
"B082-DF0778","E","In Playground","No","B082","Shore Park and Parkway","B082-02","B","1","B-10","E, In Playground","Active","POINT (-74.03931254035842 40.63163667358944)"
"B149A-DF0068","C","In Playground","No","B149A","Elton Playground","B149A","B","1","B-05","C, In Playground","Active","POINT (-73.88091138423775 40.66592673297097)"
"M148-DF0516","F","In Playground, Near Ballfield","Yes","M148","White Playground","M148","M","1","M-11","F, In Playground, Near Ballfield","Active","POINT (-73.94587805040527 40.79151916176893)"
"X221-DF0145","D","In Playground","Yes","X221","Space Time Playground","X221","X","1","X-09","D, In Playground","Active","POINT (-73.85982902159667 40.82202974703248)"
"X211-DF0269","C","In Playground","No","X211","Stebbins Playground","X211","X","1","X-02","C, In Playground","Active","POINT (-73.89861935765303 40.82269629123698)"
"M010-DF0612","E and Dog","Under Tree, In Shade","Yes","M010","Central Park","M010-ZN27","M","2","M-13","E and Dog, Under Tree, In Shade","Active","POINT (-73.96408556099723 40.78191532861275)"
"B208-DF0688","C","In Playground","No","B208","Pfc Norton Playground","B208","B","1","B-15","C, In Playground","Active","POINT (-73.9448958218151 40.61461621605934)"
"M131-DF1005","Indoor Drinking Fountain","Indoor",,"M131","Hansborough Recreation Center","M131","M","1","M-10","Indoor Drinking Fountain, Indoor","Active","POINT (-73.93933148840306 40.81283497124638)"
"Q427-DF0140","D","Under Tree","Yes","Q427","South Rochdale Playground","Q427","Q","1","Q-12","D, Under Tree","Active","POINT (-73.76938062786455 40.67387065932245)"
"Q221-DF0365","A","Just Outside Playground, Out in Open","No","Q221","Farm Playground","Q221","Q","1","Q-08","A, Just Outside Playground, Out in Open","Active","POINT (-73.77739339549608 40.73515637348266)"
"M226-DF0035","C","In Playground","Yes","M226","Augustus St. Gaudens Playground","M226","M","1","M-06","C, In Playground","Active","POINT (-73.9822757014508 40.73550444549923)"
"M194-DF1012","Indoor Drinking Fountain","Indoor",,"M194","Alfred E. Smith Playground","M194","M","1","M-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.99763652191835 40.71018528083033)"
"R080-DF0133","A","Out in Open","Yes","R080","Annadale Green","R080","R","1","R-03","A, Out in Open","Active","POINT (-74.17765274649156 40.54164822330401)"
"B230-DF0248","Bottle Filler Fountain","Out in Open","No","B230","Nicholas Naquan Heyward Jr. Park","B230","B","2","B-06","Bottle Filler Fountain, Out in Open","Active","POINT (-73.98781065718583 40.68437550428601)"
"Q009-DF0648","A","Near Ballfield","No","Q009","Hermon A. MacNeil Park","Q009-ZN01","Q","1","Q-07","A, Near Ballfield","Active","POINT (-73.85121336579608 40.791889283065295)"
"X039-DF0091","A","Under Tree","Yes","X039","Pelham Bay Park","X039-ZN19","X","1","X-15","A, Under Tree","Active","POINT (-73.79326439134793 40.86748107266121)"
"Q021-DF0362","D","Out in Open","No","Q021","Cunningham Park","Q021-ZN06","Q","1","Q-08","D, Out in Open","Active","POINT (-73.76487548011532 40.738704458694365)"
"B166B-DF0708","A","In Playground","Yes","B166B","Homecrest Playground","B166B","B","1","B-15","A, In Playground","Active","POINT (-73.95728727427905 40.5864181143572)"
"M140-DF0039","Bottle Filler High Low","In Playground, Under Tree","Yes","M140","Recreational Area","M140-01","M","3","M-14","Bottle Filler High Low, In Playground, Under Tree","Active","POINT (-73.9523815919824 40.829840299253604)"
"Q004-DF0998","Indoor Drinking Fountain","Indoor",,"Q004","Astoria Park","Q004-ZN02","Q","1","Q-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.92216695299264 40.77852965552835)"
"B217-DF0088","C","Near Ballfield","Yes","B217","Marcy Playground","B217","B","1","B-03","C, Near Ballfield","Active","POINT (-73.95091342985243 40.69537820515398)"
"X150E-DF0171","D","Near Ballfield, Out in Open","No","X150E","Fordham Landing Playground","X150E","X","1","X-07","D, Near Ballfield, Out in Open","Active","POINT (-73.91067313335898 40.86320516078135)"
"M047-DF0915","J",,,"M047","Thomas Jefferson Park","M047","M","1","M-11","J,","Active","POINT (-73.93655098545429 40.793770558946356)"
"R046-DF0040","A","Near Ballfield","Yes","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-ZN05","R","1","R-02","A, Near Ballfield","Active","POINT (-74.08929986374893 40.57025190413083)"
"B058-DF0219","Bottle Filler High Low","Under Tree, Near Ballfield","No","B058","McCarren Park","B058-ZN02","B","3","B-01","Bottle Filler High Low, Under Tree, Near Ballfield","Active","POINT (-73.95200116797007 40.719394446255286)"
"Q004-DF0459","A","Out in Open","No","Q004","Astoria Park","Q004-ZN03","Q","1","Q-01","A, Out in Open","Active","POINT (-73.91887945502454 40.781497377281006)"
"X092-DF0265","A","Near Ballfield, Under Tree","Yes","X092","Van Cortlandt Park","X092-ZN08","X","1","X-13","A, Near Ballfield, Under Tree","Active","POINT (-73.89600044179065 40.906941053855554)"
"Q408-DF0543","A","Out in Open","Yes","Q408","Harold Schneiderman Playground","Q408","Q","1","Q-10","A, Out in Open","Active","POINT (-73.85017982454814 40.66501359088194)"
"B315-DF0326","A","Out in Open, In Playground","No","B315","Surf Playground","B315","B","1","B-13","A, Out in Open, In Playground","Active","POINT (-73.99249981406554 40.57369129004498)"
"M010-DF0558","E and Dog","In Shade, Out in Open, Under Tree","Yes","M010","Central Park","M010-ZN15","M","2","M-13","E and Dog, In Shade, Out in Open, Under Tree","Active","POINT (-73.96884051646803 40.77107049111614)"
"X002-DF0073","A","In Playground","No","X002","Bronx Park","X002-08","X","1","X-06","A, In Playground","Active","POINT (-73.8761206936304 40.86992680849949)"
"M141-DF0527","A","Under Tree, Near Ballfield, Just Outside Playground","Yes","M141","Harlem Lane Playground","M141","M","1","M-10","A, Under Tree, Near Ballfield, Just Outside Playground","Active","POINT (-73.93484302270564 40.82530296146144)"
"B113C-DF0802","E","Out in Open","Yes","B113C","Columbus Park","B113C","B","1","B-02","E, Out in Open","Active","POINT (-73.99004689480086 40.69414504800526)"
"Q298-DF0052","E","In Playground","No","Q298","Paul Raimonda Playground","Q298","Q","1","Q-01","E, In Playground","Active","POINT (-73.89774190306629 40.772787578219784)"
"B010-DF0980","E High Low",,,"B010","Brooklyn Botanic Garden","B010","B","2","B-19","E High Low,","Active","POINT (-73.96431776388334 40.667220763815266)"
"Q099-DF1005","Indoor Drinking Fountain","Indoor",,"Q099","Flushing Meadows Corona Park","Q099-ZN10","Q","1","Q-15","Indoor Drinking Fountain, Indoor","Active","POINT (-73.83742404772734 40.75176191263366)"
"R030-DF0190","A",,,"R030","Willowbrook Park","R065-ZN08","R","1","R-02","A,","Active","POINT (-74.15879101178169 40.604296088330806)"
"Q211-DF0725","C","In Playground","No","Q211","Maple Playground","Q211","Q","1","Q-07","C, In Playground","Active","POINT (-73.82595781487026 40.75599812988327)"
"M098-DF0982","Indoor Drinking Fountain","Indoor",,"M098","Washington Square Park","M098-ZN01","M","1","M-02","Indoor Drinking Fountain, Indoor","Active","POINT (-73.99830972437842 40.73083154587701)"
"X261-DF0395","D","Out in Open","No","X261","West Bronx Recreation Center","X261","X","1","X-04","D, Out in Open","Active","POINT (-73.91958701641846 40.84417826417754)"
"Q162J01-DF0346","A","In Playground","No","Q162J01","Beach 9 Playground","Q162J01","Q","1","Q-14","A, In Playground","Active","POINT (-73.74452831867433 40.59564799243783)"
"Q099-DF0225","D","Out in Open","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN06","Q","1","Q-15","D, Out in Open","Active","POINT (-73.84516722320376 40.74415494209108)"
"B237-DF0313","A","Near Ballfield","Yes","B237","John Hancock Playground","B237","B","1","B-03","A, Near Ballfield","Active","POINT (-73.95464171035016 40.68232302793684)"
"M014-DF0479","A","In Shade, Just Outside Playground","Yes","M014","Jackie Robinson Park","M014","M","1","M-10","A, In Shade, Just Outside Playground","Active","POINT (-73.94274189986473 40.824017690941474)"
"B021-DF0733","A","In Playground, Under Tree","Yes","B021","Commodore Barry Park","B021-01","B","1","B-02","A, In Playground, Under Tree","Active","POINT (-73.97863394849965 40.69802978041076)"
"X224-DF0359","D","Under Tree","No","X224","MacLaughlin Playground","X224","X","1","X-08","D, Under Tree","Active","POINT (-73.90552996600913 40.88781534322812)"
"B252-DF0370","E","Out in Open, Near Ballfield","No","B252","West Playground","B252","B","1","B-13","E, Out in Open, Near Ballfield","Active","POINT (-73.96980177053804 40.587330596956846)"
"X307-DF0575","Indoor Drinking Fountain","Indoor",,"X307","Barretto Point Park","X307","X","1","X-02","Indoor Drinking Fountain, Indoor","Active","POINT (-73.88878149014197 40.804415715901435)"
"B058-DF1034","Indoor Drinking Fountain","Indoor",,"B058","McCarren Park","B058","B","1","B-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.94992997567486 40.7200816932747)"
"R106-DF0135","D","Near Ballfield","Yes","R106","Bloomingdale Park","R106-ZN03","R","1","R-03","D, Near Ballfield","Active","POINT (-74.2099058534571 40.53505278182459)"
"M161-DF0142","CS Concrete","In Playground, Near Ballfield, Under Tree","No","M161","McCaffrey Playground","M161","M","1","M-04","CS Concrete, In Playground, Near Ballfield, Under Tree","Active","POINT (-73.99134714756892 40.75913630355589)"
"B073-DF1054","Indoor Drinking Fountain","Indoor",,"B073","Prospect Park","B073-ZN23","B","1","B-19","Indoor Drinking Fountain, Indoor","Active","POINT (-73.96528054008711 40.66082317313157)"
"M010-DF0581","E","Near Ballfield, Out in Open","Yes","M010","Central Park","M010-ZN06","M","1","M-13","E, Near Ballfield, Out in Open","Active","POINT (-73.97589661063124 40.76992140847818)"
"B266-DF0081","E","Under Tree","Yes","B266","Star Spangled Playground","B266","B","1","B-03","E, Under Tree","Active","POINT (-73.95799115668036 40.69162725499083)"
"M218-DF0874","E High Low",,,"M218","DeSalvio Playground","M218","M","2","M-02","E High Low,","Active","POINT (-73.99597548077702 40.72170081160548)"
"X247-DF0262","F High Low","In Playground","Yes","X247","Fox Playground","X247","X","2","X-02","F High Low, In Playground","Active","POINT (-73.89847366318371 40.81494893045333)"
"X222-DF0288","C","Out in Open, Just Outside Playground","No","X222","Gouverneur Playground","X222","X","1","X-03","C, Out in Open, Just Outside Playground","Active","POINT (-73.90330230993078 40.83580402995687)"
"M233-DF0325","D","Near Ballfield, In Playground","No","M233","Matthew P. Sapolin Playground","M233","M","1","M-07","D, Near Ballfield, In Playground","Active","POINT (-73.9838498951259 40.77722615062324)"
"Q015-DF0027","A","Out in Open","Yes","Q015","Forest Park","Q015-ZN07","Q","1","Q-16","A, Out in Open","Active","POINT (-73.85664806768776 40.69740014083301)"
"B073-DF0940","A","In Shade, Under Tree",,"B073","Prospect Park","B073-ZN12","B","1","B-19","A, In Shade, Under Tree","Active","POINT (-73.96807416671818 40.66854191109005)"
"B056-DF0179","C","In Playground","Yes","B056","Martin Luther King Jr. Playground","B056","B","1","B-05","C, In Playground","Active","POINT (-73.89024000457235 40.66736674612911)"
"Q026-DF0144","D","Just Outside Playground","No","Q026","Park Of The Americas","Q026","Q","1","Q-04","D, Just Outside Playground","Active","POINT (-73.86179723499026 40.74875433668764)"
"X022-DF0337","A","Under Tree","Yes","X022","Benjamin Gladstone Square","X022","X","1","X-02","A, Under Tree","Active","POINT (-73.89089415808847 40.82536320053393)"
"Q038-DF0321","A","Under Tree, Just Outside Playground","No","Q038","Benninger Playground","Q038","Q","1","Q-05","A, Under Tree, Just Outside Playground","Active","POINT (-73.8981264715423 40.70696839475983)"
"B085-DF1068","Indoor Drinking Fountain","Indoor",,"B085","Metropolitan Recreation Center","B085","B","1","B-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9603169539417 40.71501243277917)"
"B114-DF0963","E High Low",,,"B114","Msgr. McGolrick Park","B114-01","B","2","B-01","E High Low,","Active","POINT (-73.94335931543792 40.725277390937926)"
"M010-DF0643","E and Dog","Out in Open","Yes","M010","Central Park","M010-ZN38","M","2","M-13","E and Dog, Out in Open","Active","POINT (-73.95552037260236 40.791608776151975)"
"B169-DF0586","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN04A","B","1","B-13","E, Out in Open","Active","POINT (-73.97271242318304 40.574033108446635)"
"Q162-DF0416","Trough","Out in Open","No","Q162","Rockaway Beach and Boardwalk","Q162-ZN04C","Q","1","Q-14","Trough, Out in Open","Active","POINT (-73.79972674474777 40.586537132516305)"
"M058-DF0503","E and Dog","Under Tree, Just Outside Playground, Near Ballfield","Yes","M058","Marcus Garvey Park","M058-ZN02","M","2","M-11","E and Dog, Under Tree, Just Outside Playground, Near Ballfield","Active","POINT (-73.94268732576816 40.80358979219789)"
"B285-DF0282","E High Low","Out in Open, Near Ballfield","No","B285","Harry Maze Playground","B285","B","2","B-17","E High Low, Out in Open, Near Ballfield","Active","POINT (-73.92326102514801 40.64348591799987)"
"B145-DF1079","Indoor Drinking Fountain","Indoor",,"B145","Thomas Greene Playground","B145","B","1","B-06","Indoor Drinking Fountain, Indoor","Active","POINT (-73.98578259993782 40.68065079759494)"
"X092-DF0235","F High Low","Out in Open","Yes","X092","Van Cortlandt Park","X092-ZN05","X","2","X-13","F High Low, Out in Open","Active","POINT (-73.89604046551194 40.89375299449491)"
"B169-DF0597","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN05B","B","1","B-13","E, Out in Open","Active","POINT (-73.9829054360471 40.57270486219849)"
"Q099-DF0926","Indoor Drinking Fountain","Indoor",,"Q099","Flushing Meadows Corona Park","Q099","Q","1","Q-15","Indoor Drinking Fountain, Indoor","Active","POINT (-73.83377790153129 40.751409211946985)"
"X266-DF0350","D","Out in Open","Yes","X266","Vidalia Park","X266","X","1","X-06","D, Out in Open","Active","POINT (-73.88164445481642 40.84377971338117)"
"M144-DF0396","E High Low","Near Ballfield, Just Outside Playground","Yes","M144","John V. Lindsay East River Park","M144-ZN06","M","2","M-03","E High Low, Near Ballfield, Just Outside Playground","Active","POINT (-73.97225393608811 40.72440418000083)"
"Q410-DF0170","C","Out in Open","No","Q410","Hinton Park","Q410","Q","1","Q-03","C, Out in Open","Active","POINT (-73.85511186724138 40.75672352938149)"
"M208D-DF0420","B","Near Ballfield, Under Tree","No","M208D","Harlem River Park","M208D-01","M","1","M-11","B, Near Ballfield, Under Tree","Active","POINT (-73.93456203107486 40.80733320373234)"
"Q021-DF0447","A","Out in Open","No","Q021","Cunningham Park","Q021-ZN02","Q","1","Q-08","A, Out in Open","Active","POINT (-73.7725625121073 40.73003274065127)"
"Q429-DF0039","E High Low","In Playground","No","Q429","Spirit Playground","Q429","Q","2","Q-01","E High Low, In Playground","Active","POINT (-73.941259297452 40.761249943532064)"
"X092-DF0224","D","Out in Open, Near Ballfield","Yes","X092","Van Cortlandt Park","X092-ZN10","X","1","X-13","D, Out in Open, Near Ballfield","Active","POINT (-73.87076528204595 40.90067158732127)"
"B248-DF0518","CS Metal","Under Tree, Out in Open, Just Outside Playground","Yes","B248","Fox Playground","B248","B","1","B-18","CS Metal, Under Tree, Out in Open, Just Outside Playground","Active","POINT (-73.92387867510826 40.63266361134451)"
