"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"Hebrew Apostle",,"692","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","Brooklyn Museum; Eastern Parkway","Y","1909",,"Statue","no size",,"Indiana limestone",,,"Henry Augustus Lukeman",,"Purchase",,,,,,,,"$3,000",,,,
"Hebrew Law",,"693","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","Brooklyn Museum; Eastern Parkway","Y","1909",,"Statue",,,"Indiana limestone",,,"Henry Augustus Lukeman",,"Purchase",,,,,,,,"$3,000",,,,
"Hebrew Orphan Asylum",,"694","Y","Manhattan","Jacob H. Schiff Playground","M223","9","7","PS 192, PARK BUILDING","N","April 13, 1958",,"Plaque on wall - Stolen May, 1974","1'10""h x 2'4""",,"Bronze",,,,,"Alumni of Hebrew Orphan Asylum",,,,,,,,,,,,
"Hebrew Prophet",,"695","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","Brooklyn Museum; Eastern Parkway","Y","1909",,"Statue",,,"Indiana limestone",,,"Henry Augustus Lukeman",,"Purchase",,,,,,,,"$3,000",,,,
"hebrew psalmist",,"696","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,,,,"indiana limestone",,,"henry augustus lukeman",,"purchase, $3000",,,,,,,,,,,,
"Anna Atkins Heckscher",,"697","Y","Manhattan","Central Park","M010","7","6","Heckscher Playground; Recreation Building west side architrave","Y",,,"Tablet","H: 12"" W: 18""",,"Bronze",,,,,,,,,,"Y",,,,"Women",,"990591.2796283066","219305.43676689267"
"Augustus Heckscher Gate Posts",,"698","Y","Manhattan","Central Park","M010","7","6","Heckscher Playground entrance","Y","1936",,"2 gateposts, incised letters",,,"Deer Isle granite",,,,,,,,,,"Y",,,,,,"990726.6710897982","219441.06543263793"
"Cornelius Heeney Memorial","Heeney, Cornelius","699","Y","Brooklyn","Columbus Park","B113C","2","33","In front of New York State Supreme Court building, at Montague and Court Streets","Y","October 27, 1977","ca. 1977","Plaque with relief medallion on plinth","Plinth H: 1'2"" L: 4'4"" W: 2'10""; Plaque L: 3'9"" W: 2'3"" (approximate)",,"Pennsylvania black granite, bronze",,,"Anneta Duveen",,"Brooklyn Benevolent Society",,,,,"Y",,,,"Politcal Figure, Philanthropy",,"986949.5910455585","192180.1291409731"
"Heinrich Heine Fountain","Heinrich Heine Fountain","700","Y","the Bronx","Joyce Kilmer Park","X028","4","17","At southern end of park","Y","July 8, 1899","ca 1888","Seated figure (over life-size) on pedestal with bas-reliefs; three lounging figures below, in a large basin; tablet nearby","Total H: 19'; Basin Diameter: 34'6""","MAS/SF","Tyrolean marble, Dover marble, bronze, granite",,,"Ernst Herter",,"Arion, a German-American singing society",,,"Lorelei Fountain",,"Y",,"1999-07-08T00:00:00.000","$35,000",,,"1005507.6621970534","240764.94929397106"
"Louis J. Heintz Memorial","Heintz, Louis J.","701","Y","the Bronx","Joyce Kilmer Park","X028","4","17",,"Y","1909","1905","Standing figure with integral plinth on a pedestal on a three-step base; a female figure stands at the front of the pedestal in the act of writing an inscription on it","Total H: 19'6"" W: 9' D"" 9'",,"Figures--bronze; Pedestal and steps--Somesound granite",,,"Pierre Feitu","William Welles Bosworth",,,,,,"Y",,,"$11,500","Politcal Figure, Sculpture",,"1005504.0368762165","240962.06700997055"
"Heisser Square Park Cannon","Heisser Square Park Cannon","702","Y","Brooklyn","Heisser Square Park","B045","4","37",,"N","ca. 1920","ca. 1915","wheeled cannon",,,"iron, wood, etc. (?)",,,,,,,,,,,,,,"War Memorial, World War I",,,
"Heisser Square Park Tree Markers",,"703","Y","Brooklyn","Heisser Square Park","B045","4","37","Knickerbocker and Myrtle Avenue, Bleecker Street","Y","1920",,"5 tablets","H: 4 ½"" W: 9""",,"Bronze",,,,,,,,,,"Y",,,,"World War I, War Memorial",,"1007003.866225645","193844.4266653955"
"Hennessy Park World War I Flagstaff",,"705","Y","Brooklyn","Heisser Square Park","080B","13","37","Ocean Parkway and Seabreeze Avenue","Y","1925",,"Flagstaff base with plaque","Base H: 44"" W: 40"" D: 40""; Plaque H: 29 7/8"" W: 19 13/16""",,"Cast stone, bronze",,,,,"Veterans of Foreign Wars Post No. 1938",,,,,"Y",,,,"World War I, War Memorial",,"992904.833728224","148779.7372673899"
"Henry Hudson Entrance",,"706","Y","Queens","Flushing Meadows / Corona Park","Q099","15","21","56th Avenue and 111th Street","Y",,,"2 columns",,,"Granite",,,,,,,,,,"Y",,,,,,"1025620.4976274669","209813.13783814013"
"Victor Herbert","Herbert, Victor","707","Y","Manhattan","Central Park","M010","7","6","Mall, across from Bandshell","Y","1927","ca. 1927","Bust on pedestal","Total H: 11'7"" W: 4'8"" D: 4'3""","CPC/SF","Bronze, Stony Creek granite",,,"Edmond Thomas Quinn",,"American, Society of Composers, Authors and Publishers",,,,,"Y",,,,"Composer/Musician",,"991944.0006761402","220790.42559480667"
"Heritage","Heritage","708","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic","Y","1903","ca. 1903","male figure with infant figure (heroic scale)",,,"Westerly granite",,,"Henry Kirke Bush-Brown","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"hermes",,"709","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM, SCULPTURE RM; eastern parkway","Y",,,"statue",,,,,,,,"george braekett",,,,,,,,,,,,
"Hero Park World War Memorial Plaque","Hero Park World War Memorial Plaque","710","Y","Staten Island","Hero Park","R011","1","49","Mounted on east side of Sugar Loaf Rock","Y","ca. 1920","ca. 1920","Plaque",,,"Bronze",,,,,,,,,,"Y",,"2006-11-16T00:00:00.000",,"World War I, War Memorial",,"959976.325766474","168918.3134599775"
"Hero Park Memorial Plaque","Hero Park Memorial Plaque","711","Y","Staten Island","Hero Park","R011","1","49","Mounted on north side of Sugar Loaf Rock","Y","1920","ca. 1920","Plaque",,,"Bronze",,,,,,,,,,"Y",,"2006-11-16T00:00:00.000",,"World War I, War Memorial",,"959952.7808660567","168890.84435480833"
"Hero Park Memorial Grove Tablets",,"712","Y","Staten Island","Hero Park","R011","1","49","Victory Boulevard, Lewis Street, Howard Avenue","M","1920 or 1921",,"96 tablets on natural boulder",,,"Bronze",,,,,,,,,,,,,,"World War I, War Memorial",,,
"Sugar Loaf Rock Plaque","Sugar Loaf Rock Plaque","713","Y","Staten Island","Hero Park","R011","1","49","Mounted on west side of Sugar Loaf Rock","Y","ca. 1920","ca. 1920","Plaque",,,"Bronze",,,,,,,,,,"Y",,"2006-11-16T00:00:00.000",,,,"959980.2496431321","168890.84435480833"
"Theodor Herzl Memorial",,"714","Y","Queens","Freedom Square","Q370","8","24","Main Street and Vleigh Place, Kew Gardens","Y","May 2, 1960",,"Flagstaff and base with tablet","Tablet H: 2'2"" W: 3'9"" D: 1'1""; Base Diameter"" 9'",,"Bronze, Stony Creek granite",,,"Joseph Dilorenzi",,"Kew Gardens Zionist District",,,,,"Y",,,,"Civic Leader, Religious Leader",,"1034029.4630929679","202959.69682064652"
"Abram Stevens Hewitt","Hewitt, Abram Stevens","715","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, fourth from left","Y","1906","ca. 1906","standing figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"Highbridge Park",,"717","Y","Manhattan","Highbridge Park","M037","12","10",,"S",,,"Weathervanes",,,,,,,,,,,,,,,,,,,,
"Highbridge Tower Water Landmark",,"718","Y","Manhattan","Highbridge Park","M037","12","10","Base of Tower; West 173rd Street and Amsterdam Avenue; Stolen 1976","N","August 14, 1969",,"Plaque in recessed wall - stolen, 1976",,,"Bronze",,,,,"american water works assn.",,,,,,,,,,,,
"Highbridge World War I Memorial",,"720","Y","the Bronx",,"X030","4","16","161st Street and Jerome Avenue","Y","1923",,"Statue, pedestal with dedicatory plaque","H: 15'9"" W: 8'8"" D: 8'8""",,"Bronze and Maine granite","J.W. Fiske Iron Works",,,"Max Hausle","Highbridge Regular Democratic Club",,,"Highbridge Doughboy",,"Y",,"2018-09-28T00:00:00.000","6000.00","War Memorial, World War I, Soldier",,"1003806.9070683867","241587.92271363735"
"Highest Natural Point in Manhattan",,"721","Y","Manhattan","Bennett Park","M009","12","7","Fort Washington Avenue, W. 183rd Street","Y",,,"Marker on natural boulder","H: 18 ½"" W: 18 ½""",,"Granite",,,,,,,,,,"Y",,,,,,"1001319.9451788068","250030.56462097168"
"Dawn of Glory","Dawn of Glory","722","Y","Queens","Highland Park","Q020","5","30","Jamaica Avenue at Cleveland Street","Y","July 13, 1924","1924","Standing male figure (heroic scale) with integral plinth on pedestal raised on three steps, tablet","Figure H: 10'; Pedestal H: 5' W: 12' D: 11'; Tablet H: 2'4"" W: 2'6""",,"Figure--bronze; Pedestal--Deer Isle granite","American Art Foundry, New York",,"Pietro Montana",,"Kings County Chapter of the American Legion.",,,"Highland Park War Memorial",,"Y",,,,"War Memorial, World War I, Allegorical",,"1015688.3019407243","188343.505252555"
"Highland Park Tablet",,"723","Y","Queens","Highland Park","B047","5","30","Interborough Pkwy., Jamaica Avenue","M","1924",,"Tablet",,,"Bronze",,,,,"County Chapter, American Legion",,,,,,,,,"World War I, War Memorial",,,
"The Hiker","Hiker, The","724","Y","Staten Island","Tompkinsville Park","R024","1","49",,"Y","1916","1916","Standing figure (life size), on pedestal with four plaques","Figure H: 6'7""; Pedestal H: 6' W: 5'10"" D: 5'10""; Plaques H: 1'8"" W: 2'6""",,"Bronze, North Jay granite","Jno. Williams, Inc.",,"Allen G. Newman",,"Public subscription",,,"Soldiers Memorial",,"Y",,,"2500.00","Spanish-American War, Civil War, War Memorial, World War I, All Wars, Revolutionary War",,"963054.3675106317","171587.6243943125"
"Hillcrest Veterans Square",,"725","Y","Queens",,"QZ20","8","24","Union Turnpike, 162 Street and 79 Avenue","Y","May 17, 2005",,"Stele with tablet, applied letters",,"Funded by City Councilman James Gennaro","Granite, bronze",,,,"Steven Whitesell (DPR landscape & monument architect)",,,"CBR Construction Co. (capital project)",,,"Y",,,,"World War I, War Memorial",,"1038166.1047540605","202109.00364014506"
"hillman cooperative houses",,"726","N","Manhattan",,,"3","2","HILLMAN COOPS ENTRANCE; grand and jackson sts","Y",,,"plaque, incised letters on brick gate",,,"granite, brick",,,,,,,,,,,,,,,,,
"Colonel Frank H. Hines Memorial","Hines, Frank H.","727","Y","the Bronx","Hines Park","X026","3","16","Fulton Avenue and East 167th Street","M","1930","1930","Eagle on a column, on a pedestal with plaque","H: 15'1"" W: 3'8"" D: 3'8""",,"Bronze, travertine",,,"Anton Schaaf","James J. Sheridan","David  Allen American Legion Post,",,,,,,,,"5000.00","World War I, War Memorial",,,
"History","History","728","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic","Y","1902","ca. 1902","half-reclining male figure (heroic scale)",,,"Westerly granite",,,"Henry Kirke Bush-Brown","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"History",,"729","O","Manhattan","Bryant Park","M008","5","3","New York Public Library; 42nd St. and 5th Avenue","Y","1914",,"pediment group",,,,,,"george grey barnard",,"purchase, $12,500",,,,,,,,,,,,
"History",,"730","O","Manhattan","Bryant Park","M008","5","3","New York Public Library; 42nd St. and 5th Avenue; East façade","Y","1915",,"statue",,,,,,"Paul Wayland Bartlett",,"purchase, $4200",,,,,,,,,,,,
"hobart, john sloss",,"731","N","Manhattan",,,"1","1","COUNTY COURT HOUSE, ROOM 316; centre and prince sts","Y","gift",,"tablet",,,,,,,,,,,,,,,,,,,,
"Anna Rosenberg Hoffman",,"732","O","Manhattan",,,"8","4","5TH AVE, EAST SIDE; Fifth Avenue between 79th and 80th Streets; east side of street","Y","September, 1962",,"Tablet","H: 10 ¼""  W: 18 ¼""",,"Bronze","Foreman Bronze Co",,,,"Mrs. Lasker",,,,,,,,,"Women",,"994406.9521150589","222466.04789972305"
"Harry Hoffman",,"733","Y","Manhattan","Washington Square Park","M098","2","1",,"M","approved by art comis 7/11/49",,,,,,,,,,"mrs. h. hoffman",,,,,,,,,,,,
"holland bust",,"734","N","Manhattan",,,"2","3","HOLLAND TUNNEL; niche","Y",,,,,,,,,,,,,,,,,,,,,,,
"Alexander Lyman Holley","Holley, Alexander Lyman","735","Y","Manhattan","Washington Square Park","M098","2","1","5th Avenue at Washington Place","Y","1889","1889","Bust on a high central stele joined by screens to shorter side steles at right and left, the whole on a plinth resting on a semi-circular step","Bust H: 3'6""; Central stele H: 9'; Total W: 10'3"" D: 3'10""","MAS","Bronze, Indiana limestone",,,"John Quincy Adams Ward","Thomas Hastings","Engineering societies: ASME, AIME, and ASCE",,,,,"Y",,,,"Scientist/Inventor",,"984781.0950544775","205648.0920343995"
"Hollis World War Memorial",,"736","Y","Queens",,"QZ36A","12","23","193rd Street and Hillside Avenue","Y","1920",,"Tablet on rough-hewn stele","Tablet H: 2'2 1/"" W: 3'7""; Shaft H: 7' W: 5'1"" D: 2'9""",,"Bronze, pink granite (rough cut)","John Polachek Bronze & Iron, Long Island City, NY",,,,,,,,,"Y",,,,"World War I, War Memorial",,"1048222.3720430583","200513.33622780442"
"Philip Hone","Hone, Philip","738","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, fifth from left","Y","1906","ca. 1906","standing figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"Hooker Shelter House",,"740","O","the Bronx","Bronx Park","X002","14","12","New York Botanical Gardens; Rose Garden","Y","May, 1951",,"Plaque on wall","H: 16"" W: 22"" D: ¼""",,"Bronze",,,,,"Mrs. Elon Huntington Hooker",,,,,,,,,,,,
"Hooper Fountain","Hooper Fountain","741","Y","Manhattan",,"MZ226","9","9","Maher Circle, 155th Street and Edgecombe Avenue","Y","1894","ca. 1894","Ornamental horse fountain with lantern, plaque","Lantern H: 15'",,"Fountain--granite; Lantern and plaque--bronze",,,,"George Martin Huss","John Hooper",,,,,"Y",,"2001-10-09T00:00:00.000","$5,000",,,"1000862.49333781","241737.19538097084"
"Hooper Fountain, Brooklyn",,"742","Y","Brooklyn",,,"6","33","FLATBUSH AVE. & 6TH AVE.","N","1896",,"Basin with lantern","lantern 15'h",,"Granite, bronze",,,,"George Martin Huss","John Hooper, $5000 (see manh.)",,,,,,,,,,,,
"William T. Hornaday Memorial",,"743","O","the Bronx","Bronx Park","X002","14","12","Bronx Zoo, near Peacock Pavilion","Y","May 19, 1932",,"Plaque on plinth","see memo",,"Bronze, concrete","U.S. Bronze Sign Company, NY",,,,"New York Zoological Society",,,,,,,,,,,,
"The Horse Tamers","Horse Tamers, The","744","Y","Brooklyn","Prospect Park","B073","0","39","Coney Island Avenue at Park Circle Entrance","Y","1899","1898","Two groups, each consisting of two horse figures and one mounted male figure, on two pedestals","North group H: 16' W: 6'8"" D:10'10""; South group H: 17' W: 6'8"" D: 10'9½""; Each pedestal H: 20' W: 11'6"" D: 17'6""","Richard J. Schwartz","Bronze, granite","LeBlanc Barbedienne",,"Frederick William MacMonnies","Stanford White",,,,,,"Y",,,,"Animal: equestrian",,"992101.3117132187","176669.1536013037"
"house of refuge tablet",,"746","Y","Manhattan","Randalls Island Park","M104","11","22","RANDALLS ISLAND; downing stad, sec 1, gate faces west","N","March 12, 1938 - stolen 1992",,"plaque on cement wall","39""h x 29""w x¾""d",,"bronze","U.S. Bronze Sign Company, NY",,,,,,,,,,,,,,,,
"Houston Street Overpass",,"747","N","Manhattan",,,"3","2","OVERPASS; Houston St. at FDR Drive","Y","1954",,"tablet on concrete wall","2'6""h x 3'6""w",,"bronze",,,,,"purchase",,,,,,,,,,,,
"howe, alice c.",,"748","N","Brooklyn",,,"0","0",,"M",,,,,,,,,,,,,,,,,,,,,,,
"Hudson, Henry Memorial",,"750","Y","Manhattan","Riverside Park","M071","0","6","Riverside Drive at 72nd St","NM","1909",,"Electrolier - stolen","19'h x 9'diam",,"Barre granite and bronze",,,"Allen Geoge Newman",,"colonial dames of america, $7500.",,,,,,,,,"Explorer",,,
"Henry Hudson Memorial",,"751","Y","the Bronx","Henry Hudson Parkway","X080","8","11","Henry Hudson Parkway and 227th Street","Y","1939 (figure and panels)",,"Doric column, panels, statue","Column H:100'  W: 17'7"" Diameter: 19'7""; Statue H:.17'; Panels: H: 7'2"" W: 10'2""",,"Milford pink granite, bronze",,"Henry M. Schrady (panels)","Karl Gruppe, Karl Bitter","Walter Cook; Babb, Cook, Welch","Public subscription (column); Henry Hudson Parkway Authority (figure and panels)",,,,,"Y",,,"$100,000","Explorer, Sculpture",,"1006826.3137592226","260752.67080138624"
"Henry Hudson Memorial Park Plaque",,"752","Y","the Bronx","Henry Hudson Parkway","X080","8","11","Henry Hudson Parkway and 227th Street","Y","1940",,"Tablet on gatepost","H: 1'3"" W: 1'6""",,"Bronze",,,,,"City",,,,,"Y",,,,,,"1006898.1075788885","260613.61202439666"
"Frederick H.A. Von Humboldt",,"754","O","Manhattan","Theodore Roosevelt Park","M053","7","6","Natural History Museum; Rotunda","Y","1853",,"portrait bust on pedestal",,,"white marble",,,"William Couper",,,,,,,,,,,,,,
"Richard Morris Hunt Memorial","Hunt, Richard Morris","756","Y","Manhattan","Central Park","M010","7","6","Perimeter wall, Fifth Avenue at 70th Street","Y","1898",,"Bust (over life-size) on stele in an arc-shaped space formed by an exedra  whose back supports columns and a cornice; at each end of the exedra is a standing female figure; mosaic floor; approached by two steps","Total H: 13' W: 31'; Bust H: 2'6""; Figure proper right H: 6'6""; Figure proper left H: 6'7½""","CPC","Bust and figures--bronze; exedra, columns, etc.--Westerly granite,","Henry Bonnard Bronze Co.",,"Daniel Chester French","Bruce Price","Art Societies of New York",,,,,"Y",,,,"Artist",,"993169.4483564645","220393.23216347396"
"Huntington Estate Animal Cemetery",,"757","Y","the Bronx","Pelham Bay Park","X039","0","13","Path at Library and Watt Avenues, near Police Department stables","Y",,,"5 markers with inscriptions","H: 2' W: 10 ¼"" D:5""",,"Limestone",,,,,,,,,,,,,,,,"1034465.898899883","248816.32525156438"
"Hunts Point Memorial",,"758","Y","the Bronx","Crames Square","X009","2","17","Hunts Point Road and Bruckner","M","1940",,,,,"Deer Isle granite",,,,,"Hunts Point Civic Association",,,"Crames Square World War Memorial",,,,,,"World War I, War Memorial",,,
"Sylvester A. Hurley",,"759","Y","the Bronx","Van Cortlandt Park","X092","0","11","Near comfort station","M","1954",,"Plaque on marker","H: 7"" W: 10""",,"Bronze, granite",,,,,,,,,,,,,,"Korean War, War Memorial",,,
"Anne Hutchins",,"760","Y","the Bronx",,,"0","0","SPLIT ROCK RD; 1 mile from pelham bridge road","N",,,,"36'l x 21'6""d",,,,,,,,,,,,,,,,"Women",,,
