"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-73.716002038317 40.749066080454874, -73.71594759617764 40.74902966462643))","184400","Q","427284415690435780","260 STREET","75 AVENUE","BEND","LINESTRING (1063256.0240000039 212298.06939999759, 1063645.9541999996 211976.17039999366, 1063764.9795999974 211875.28820000589, 1064082.0426000059 211606.55500000715, 1064093.0137999952 211592.58540000021)","9","GOOD","2021-06-16T00:00:00.000","20.0892871126"
"MULTILINESTRING ((-73.76920714497467 40.70260615089846, -73.76848381553566 40.703082646544715))","61237","Q","436990445120461172","BRINKERHOFF AVENUE","FIRWOOD PLACE","RYE PLACE","LINESTRING (1048241.8581999987 195339.13740000129, 1048441.9563000053 195513.2675999999)","9","GOOD","2023-05-11T00:00:00.000","265.255680764"
"MULTILINESTRING ((-73.8621231956133 40.68437526876898, -73.86167801806513 40.68449624998696))","51034","Q","428890416140416290","ATLANTIC AVENUE","77 STREET","78 STREET","LINESTRING (1022612.9371999949 188687.1562000066, 1022489.5385999978 188642.88459999859, 1022366.6679999977 188596.85780000687, 1022248.830400005 188551.45769999921)","7","FAIR","2022-12-27T00:00:00.000","131.099920094"
"MULTILINESTRING ((-73.86299160924109 40.684125359517196, -73.86256647931442 40.68424946581183))","51031","Q","428890416140416290","ATLANTIC AVENUE","77 STREET","78 STREET","LINESTRING (1022612.9371999949 188687.1562000066, 1022489.5385999978 188642.88459999859, 1022366.6679999977 188596.85780000687, 1022248.830400005 188551.45769999921)","7","FAIR","2022-12-27T00:00:00.000","126.280913256"
"MULTILINESTRING ((-73.92110616606645 40.75996406965178, -73.92059648967756 40.759724895636566))","218002","Q","437290408740408940","BROADWAY","36 STREET","37 STREET","LINESTRING (1006025.7236000001 216211.44740000367, 1006106.068599999 216161.96299999952, 1006247.3438999951 216074.95160000026)","6","FAIR","2023-08-21T00:00:00.000","165.920746499"
"MULTILINESTRING ((-73.85705654054551 40.88174522667655, -73.85666604764471 40.88244818537834))","89069","X","215620228200228230","BRONXWOOD AVENUE","EAST 219 STREET","EAST 220 STREET","LINESTRING (1023777.4099999964 260553.66359999776, 1023884.9720000029 260809.95579999685)","8","GOOD","2022-11-22T00:00:00.000","277.948332655"
"MULTILINESTRING ((-73.86135114605113 40.68458783519973, -73.86084038078718 40.68473203045373))","168961","Q","428890416290416590","ATLANTIC AVENUE","78 STREET","80 STREET","LINESTRING (1022845.115199998 188773.42560000718, 1022703.5406000018 188720.66660000384, 1022612.9371999949 188687.1562000066, 1022489.5385999978 188642.88459999859)","7","FAIR","2018-05-01T00:00:00.000","151.085669226"
"MULTILINESTRING ((-74.11440382319806 40.6276948392278, -74.11426042725206 40.62700864110421))","160435","S","552267526820532180","UNNAMED STREET","EAST RALEIGH AVENUE","HARVEST AVENUE","LINESTRING (952493.61779999733 167983.27099999785, 952533.09600000083 167733.21899999678, 952534.94640000165 167721.48999999464)","3","POOR","2023-07-24T00:00:00.000","253.149226702"
"MULTILINESTRING ((-73.91017837520467 40.75482751066708, -73.91011491317741 40.754797695845824))","9000916","Q","437290410740410940","BROADWAY","49 STREET","51 STREET","LINESTRING (1008695.6492999941 214564.47239999473, 1008749.3147000074 214531.3939999938, 1008777.310800001 214514.13779999316, 1008802.0022000074 214498.91840000451, 1008823.8532000035 214485.45000000298, 1008928.7541999966 214420.7908000052, 1008955.766","5","FAIR","2023-08-21T00:00:00.000","20.6669881032"
"MULTILINESTRING ((-73.92378848615257 40.76122608607659, -73.922995650596 40.76084935403881))","67769","Q","437290408390408540","BROADWAY","33 STREET","34 STREET","LINESTRING (1005362.5817999989 216621.09880000353, 1005582.3385999948 216484.03540000319)","8","GOOD","2023-08-21T00:00:00.000","258.996962847"
"MULTILINESTRING ((-73.81938012348392 40.587368531502676, -73.8194327362028 40.587341507483934))","196816","Q","435290497040497040","BEACH CHANNEL DRIVE","X BAY BRIDGE EXIT RAMP","X BAY BRIDGE EXIT RAMP","LINESTRING (1034541.2430000007 153406.58480000496, 1034446.5910000056 153342.39859999716, 1034417.0044 153322.33619999886, 1034402.4114000052 153312.4606000036, 1034215.6006000042 153186.03720000386, 1033996.4148000032 153056.90700000525, 1033731.6450999","7","FAIR","2017-09-15T00:00:00.000","17.6205313232"
"MULTILINESTRING ((-73.85857314406725 40.8789994361107, -73.85822821331246 40.87963893940753))","266531","X","215620228080228110","BRONXWOOD AVENUE","EAST 215 STREET","EAST 216 STREET","LINESTRING (1023454.6556999981 259785.73330000043, 1023359.6471000016 259552.58310000598, 1023348.2048999965 259525.10269999504)","8","GOOD","2022-11-22T00:00:00.000","251.765068726"
"MULTILINESTRING ((-74.09958793348581 40.634882745649485, -74.09947657570818 40.63411649081796))","13810","S","570227521950552390","NORTH RANDALL AVENUE","CASTLETON AVENUE","VALENCIA AVENUE","LINESTRING (956609.209800005 170596.99279999733, 956639.80020000041 170317.79060000181)","3","POOR","2023-07-24T00:00:00.000","280.872998087"
"MULTILINESTRING ((-74.12002654932127 40.64074521404149, -74.11946842353902 40.63952246671667))","13528","S","552392545050551530","VAN STREET","RICHMOND TERRACE","TOMPKINS COURT","LINESTRING (950939.36900000274 172739.95759999752, 951093.65659999847 172294.266200006)","6","FAIR","2023-07-24T00:00:00.000","471.64126997"
"MULTILINESTRING ((-74.13485148415182 40.61554543492002, -74.13509676949747 40.615589910952416))","108469","S","554350555440570280","WATCHOGUE ROAD","WILLARD AVENUE","ST JOHN AVENUE","LINESTRING (946620.59819999337 163610.60279999673, 946742.84199999273 163581.31139999628, 946810.91599999368 163565.00249999762)","9","GOOD","2022-12-05T00:00:00.000","70.0003549655"
"MULTILINESTRING ((-73.77395659522011 40.69980578040951, -73.77359394938746 40.69999438291293))","115945","Q","436990425050441700","BRINKERHOFF AVENUE","180 STREET","DEAD END","LINESTRING (1046927.6156000048 194315.4484000057, 1047027.9925999939 194384.42139999568)","7","FAIR","2023-06-13T00:00:00.000","121.790052362"
"MULTILINESTRING ((-73.86630263906318 40.68318669415075, -73.86549671314127 40.68341671902077))","50875","Q","428890313430445450","ATLANTIC AVENUE","ATLANTIC AVENUE","FORBELL STREET","LINESTRING (1021601.3085999936 188308.47239999473, 1021554.4451999962 188292.20290000737, 1021331.049999997 188208.05609999597)","8","GOOD","2021-12-14T00:00:00.000","238.717614212"
"MULTILINESTRING ((-73.81938012348392 40.587368531502676, -73.8194327362028 40.587341507483934))","196816","Q","435290497040497040","BEACH CHANNEL DRIVE","X BAY BRIDGE EXIT RAMP","X BAY BRIDGE EXIT RAMP","LINESTRING (1034541.2430000007 153406.58480000496, 1034446.5910000056 153342.39859999716, 1034417.0044 153322.33619999886, 1034402.4114000052 153312.4606000036, 1034215.6006000042 153186.03720000386, 1033996.4148000032 153056.90700000525, 1033731.6450999","8","GOOD","2017-09-15T00:00:00.000","17.6205313232"
"MULTILINESTRING ((-73.83660117080039 40.87747543716605, -73.837537428514 40.879119547484535))","88831","X","211620235680268860","BAYCHESTER AVENUE","GIVAN AVENUE","TILLOTSON AVENUE","LINESTRING (1029436.7225999981 259007.90240000188, 1029176.6967999935 259606.43459999561)","8","GOOD","2023-02-01T00:00:00.000","652.575061658"
"MULTILINESTRING ((-73.78227504034194 40.69621419119277, -73.7818868255415 40.69637685552634))","129322","Q","436990424640424740","BRINKERHOFF AVENUE","171 PLACE","172 STREET","LINESTRING (1044827.8887999952 193113.81059999764, 1044731.826000005 193060.61839999259, 1044624.3229999989 193001.08759999275)","7","FAIR","2023-04-24T00:00:00.000","122.885357789"
"MULTILINESTRING ((-74.13583471120378 40.61720029106433, -74.13650659988514 40.61730646814791))","9249","S","554530525845539709","WATERS AVENUE","DEMOREST AVENUE","NEAL DOW AVENUE","LINESTRING (946538.87579999864 164168.33120000362, 946352.40320000052 164207.30419999361)","9","GOOD","2022-07-12T00:00:00.000","190.501772376"
"MULTILINESTRING ((-74.08621048822782 40.627979605821935, -74.08631908981502 40.62727058082932))","15198","S","570229518510551950","NORWOOD COURT","BEND","TROSSACH ROAD","LINESTRING (960319.66480000317 168078.05760000646, 960289.26459999382 167819.77060000598)","5","FAIR","2019-08-13T00:00:00.000","260.06988778"
"MULTILINESTRING ((-73.8616577555625 40.86272831978137, -73.86164504507178 40.863105793867526))","9003747","X","215620248020272920","BRONXWOOD AVENUE","MACE AVENUE","WARING AVENUE","LINESTRING (1022519.3022000045 253760.55419999361, 1022516.0036000013 253623.0204000026, 1022515.5517999977 253604.19050000608, 1022512.0703999996 253459.05110000074, 1022511.6166000068 253440.13079999387, 1022508.1925999969 253297.38140000403, 1022507.7","7","FAIR","2019-10-25T00:00:00.000","137.573350988"
"MULTILINESTRING ((-73.76089119434717 40.60138044875776, -73.76163938420561 40.600781964811326))","116014","Q","435290442290457990","BEACH CHANNEL DRIVE","DICKENS STREET","OCEAN CREST BOULEVARD","LINESTRING (1050788.5033999979 158515.42599999905, 1050648.2806999981 158466.13480000198, 1050441.1090999991 158247.52639999986, 1050315.0101000071 158168.96359999478)","9","GOOD","2017-09-13T00:00:00.000","301.180517958"
"MULTILINESTRING ((-74.10035858368015 40.56481238774259, -74.09825721058785 40.56379016261305))","11002","S","554550522270570092","WATERSIDE STREET","CEDAR GROVE AVENUE","DUSTAN STREET","LINESTRING (956366.067200005 145068.826000005, 956949.501000002 144695.74279999733)","2","POOR","2019-11-26T00:00:00.000","692.521532594"
"MULTILINESTRING ((-74.1337727228218 40.61687577468893, -74.13445874264002 40.616983946450766))","9426","S","554530528610555440","WATERS AVENUE","FISKE AVENUE","WILLARD AVENUE","LINESTRING (947111.15469999611 164049.22059999406, 946920.7582000047 164088.92200000584)","8","GOOD","2022-07-12T00:00:00.000","194.491718003"
"MULTILINESTRING ((-74.14120609064807 40.61804572114657, -74.14167313409824 40.618117098192094))","9046","S","554530525320539688","WATERS AVENUE","CRYSTAL AVENUE","MULLER AVENUE","LINESTRING (944785.92020000517 164530.85019999743, 944918.52480000257 164504.91519999504, 945048.143900007 164478.70139999688)","9","GOOD","2022-12-05T00:00:00.000","132.243239511"
"MULTILINESTRING ((-73.87889201066207 40.74763887126187, -73.87845779376075 40.7482148104652))","76466","Q","437190443290461090","BRITTON AVENUE","ELBERTSON STREET","ROOSEVELT AVENUE","LINESTRING (1017806.9168000072 211684.84880000353, 1017926.9396000057 211894.84839999676)","6","FAIR","2023-08-16T00:00:00.000","241.878697939"
"MULTILINESTRING ((-74.19684078036784 40.516209573774645, -74.19865852971343 40.51609035455691))","1118","S","570205547300551780","MEMO STREET","SEGUINE AVENUE","TRENTON COURT","LINESTRING (929519.40579999983 127407.1888000071, 929013.89180000126 127364.89569999278)","6","FAIR","2022-11-04T00:00:00.000","507.280110495"
"MULTILINESTRING ((-73.84274360902363 40.890519330505235, -73.84365504260259 40.89290632521358))","131433","X","211620230020267020","BAYCHESTER AVENUE","EDENWALD AVENUE","STRANG AVENUE","LINESTRING (1027475.9950000048 264626.42759999633, 1027729.5476000011 263757.20039999485, 1027767.3886000067 263627.46969999373)","6","FAIR","2023-06-28T00:00:00.000","905.452840399"
"MULTILINESTRING ((-74.144062095941 40.617901885159704, -74.14496598285194 40.617979706605))","8876","S","554530520790555480","WATERS AVENUE","BRYSON AVENUE","WILLOWBROOK ROAD","LINESTRING (944255.1697999984 164427.58920000494, 944004.27799999714 164456.35559999943)","9","GOOD","2022-12-09T00:00:00.000","252.535544184"
"MULTILINESTRING ((-73.90854198485388 40.76915793483986, -73.90799553118754 40.76907045706707))","68293","Q","428790428020462790","ASTORIA BOULEVARD","AMTRAK RAILROAD","SOUND STREET","LINESTRING (1009583.2425999939 219514.97400000691, 1009734.6397999972 219483.26160000265, 1010036.020600006 219417.1493999958)","8","GOOD","2018-07-19T00:00:00.000","154.682864219"
"MULTILINESTRING ((-73.71188538120238 40.74712729425667, -73.71184595250162 40.7470888527541))","182629","Q","427284415690465590","260 STREET","75 AVENUE","UNION TURNPIKE","LINESTRING (1063645.9541999996 211976.17039999366, 1063764.9795999974 211875.28820000589, 1064082.0426000059 211606.55500000715, 1064093.0137999952 211592.58540000021)","6","FAIR","2023-02-16T00:00:00.000","17.7627968957"
"MULTILINESTRING ((-74.14709516968652 40.61706289640388, -74.1473184284728 40.617074915235435))","215594","S","554350500043556230","WATCHOGUE ROAD","JOHN JACK P MEADE WAY","WOODBINE AVENUE","LINESTRING (943152.951000005 164146.60220000148, 943204.49279999733 164140.70659999549, 943350.634100005 164127.80640000105, 943412.60899999738 164123.3234000057)","8","GOOD","2022-10-29T00:00:00.000","62.1368289987"
"MULTILINESTRING ((-73.88115354961394 40.56775934989518, -73.88121601394353 40.567735028267414))","134486","Q","435290497370497370","BEACH CHANNEL DRIVE","MARINE PARKWAY BR APPROACH","MARINE PARKWAY BR APPROACH","LINESTRING (1017565.7220000029 146311.98479999602, 1017529.2337000072 146307.48829999566, 1017270.6384000033 146171.179399997, 1017252.4035000056 146162.30830000341, 1017234.8378999978 146152.81999999285)","7","FAIR","2022-03-04T00:00:00.000","19.4856716918"
"MULTILINESTRING ((-74.1732924457808 40.5600678195737, -74.17477412260476 40.55990103910331))","159626","S","554552525265526463","WATKINS AVENUE","CROSSFIELD AVENUE","DRUMGOOLE ROAD WEST","LINESTRING (936119.91400000453 143375.46340000629, 936098.503399998 143371.92000000179, 935686.68000000715 143311.97599999607)","9","GOOD","2023-05-04T00:00:00.000","416.16318424"
"MULTILINESTRING ((-73.91261087611068 40.75597094111289, -73.91216836106915 40.7557635062711))","68089","Q","437290410640457490","BROADWAY","48 STREET","NEWTOWN ROAD","LINESTRING (1008460.981099993 214709.37039999664, 1008583.6545999944 214633.91779999435)","8","GOOD","2023-08-21T00:00:00.000","144.020423724"
"MULTILINESTRING ((-74.09952100906862 40.631358232203816, -74.09925679315285 40.62993341468264))","13193","S","552265529150544737","UNIVERSITY PLACE","FOREST AVENUE","REVERE STREET","LINESTRING (956626.32580000162 169312.89759999514, 956699.075000003 168793.71559999883, 956763.85179999471 168338.35240000486)","8","GOOD","2022-11-08T00:00:00.000","524.254132288"
"MULTILINESTRING ((-73.86178355430312 40.85832671049086, -73.86177718108064 40.85863347958518))","9003707","X","215620209620257720","BRONXWOOD AVENUE","ASTOR AVENUE","PELHAM PARKWAY","LINESTRING (1022490.5556000024 252499.67080000043, 1022489.0400000066 252392.88199999928, 1022488.7228000015 252370.53180000186, 1022487.4083999991 252277.91140000522, 1022487.0235999972 252250.80140000582, 1022485.7090000063 252158.18140000105, 1022485.","8","GOOD","2022-09-23T00:00:00.000","111.781657626"
"MULTILINESTRING ((-74.1549204657529 40.58370471907667, -74.15550534365606 40.58313768687274))","7701","S","551988525908549960","TURF ROAD","DEAD END","STEPNEY STREET","LINESTRING (941218.61450000107 151973.84819999337, 941055.78980000317 151767.55259999633, 941207.38079999387 151661.82119999826)","7","FAIR","2022-06-15T00:00:00.000","262.811258335"
"MULTILINESTRING ((-74.15085687361223 40.61743376776493, -74.15155402846868 40.61751278109178))","8557","S","554350521410555517","WATCHOGUE ROAD","CANTERBURY AVENUE","WILLOW ROAD EAST","LINESTRING (942368.49719999731 164260.21760000288, 942175.00020000339 164289.33820000291)","9","GOOD","2022-12-09T00:00:00.000","195.676003513"
"MULTILINESTRING ((-73.91580593466931 40.757472742455406, -73.91500715836636 40.75709817597628))","67987","Q","437290410090410240","BROADWAY","44 STREET","45 STREET","LINESTRING (1007575.2709999979 215255.65860000253, 1007796.6976000071 215119.40559999645)","8","GOOD","2023-08-21T00:00:00.000","259.989652106"
"MULTILINESTRING ((-73.75956851029687 40.601987642182166, -73.76008488855246 40.601642757424116))","61679","Q","435290446790457990","BEACH CHANNEL DRIVE","GIPSON STREET","OCEAN CREST BOULEVARD","LINESTRING (1051014.9694000036 158688.35559999943, 1050871.9218000025 158562.31239999831)","9","GOOD","2017-09-13T00:00:00.000","190.655459226"
"MULTILINESTRING ((-73.835952025301 40.876212385531346, -73.83619152491762 40.876616105189655, -73.8363047989742 40.87678563078256))","295295","X","211620228290235680","BAYCHESTER AVENUE","EAST 222 STREET","GIVAN AVENUE","LINESTRING (1029519.1515000015 258756.73199999332, 1029550.5926000029 258695.02560000122, 1029617.1006000042 258548.05859999359, 1029656.6236000061 258460.72179999948)","9","GOOD","2019-09-26T00:00:00.000","230.570025823"
"MULTILINESTRING ((-73.86865065704949 40.57284345685973, -73.87147423479216 40.57134777980335))","49646","Q","435290497470497470","BEACH CHANNEL DRIVE","JACOB RIIS PARK DRIVEWAY","JACOB RIIS PARK DRIVEWAY","MULTILINESTRING ((1021175.1907999963 148273.15369999409, 1021090.3020000011 148234.20460000634, 1020740.1062999964 148006.12649999559, 1019956.489199996 147460.0515999943), (1020864.5877999961 147789.9687999934, 1020832.0418000072 147732.30500000715, 102","7","FAIR","2022-03-04T00:00:00.000","955.119655239"
"MULTILINESTRING ((-73.87791831774199 40.739394957206564, -73.87743058447485 40.73860051505481))","75112","Q","437290410890440090","BROADWAY","51 AVENUE","CORONA AVENUE","LINESTRING (1018080.8957999945 208681.70540000498, 1018216.4599999934 208392.45399999619)","6","FAIR","2023-04-11T00:00:00.000","319.443304404"
