"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-00847-0038","222 PARK AVENUE SOUTH","FLATIRON","D0  -ELEVATOR","54","1910","106841","5631589","52.71","1669925","15.63","3961664","32171000","301.11","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6  -ELEVATOR","77","1927","109393","5587794","51.08","1869526","17.09","3718268","33462000","305.89","0.14","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3511285","55.51","1001959","15.84","2509326","23833000","376.78","0.16","1-00850-0064","12 EAST 22 STREET","FLATIRON","D7  -ELEVATOR","87","1911","78646","4119477","52.38","1229237","15.63","2890240","31451000","399.91","0.14","2019"
"1-00847-0050","40 EAST 19 STREET","FLATIRON","D0  -ELEVATOR","15","1905","33895","1983535","58.52","515882","15.22","1467653","11921000","351.7","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1650546","56.04","382300","12.98","1268246","8357000","283.74","0.27","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7  -ELEVATOR","12","2005","27758","1624398","58.52","321160","11.57","1303238","8330000","300.09","0.24","1-00850-0018","19 EAST 21 STREET","FLATIRON","D8  -ELEVATOR","21","1925","12844","753301","58.65","182642","14.22","570659","4100000","319.22","0.14","2019"
"1-00849-0055","30 EAST 21 STREET","FLATIRON","D0  -ELEVATOR","14","1904","32800","1526512","46.54","349648","10.66","1176864","9558000","291.4","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6  -ELEVATOR","77","1927","109393","5091150","46.54","1166129","10.66","3925021","33462000","305.89","0.05","1-00850-0064","12 EAST 22 STREET","FLATIRON","D7  -ELEVATOR","87","1911","78646","3761638","47.83","722757","9.19","3038881","31451000","399.91","0.05","1-00844-0019","33 UNION SQUARE","FLATIRON","D6  -ELEVATOR","22","1900","51150","2367734","46.29","372884","7.29","1994850","21479000","419.92","0.2","2019"
"1-00850-0057","30 EAST 22 STREET","FLATIRON","D4  -ELEVATOR","23","1925","11380","487178","42.81","146347","12.86","340831","2768000","243.23","1-00850-0062","20 EAST 22 STREET","FLATIRON","D3  -ELEVATOR","23","1925","10512","440873","41.94","129508","12.32","311365","3919000","372.81","0","1-00452-0039","237 EAST 10 STREET","EAST VILLAGE","D1  -ELEVATOR","28","1920","11214","480071","42.81","173256","15.45","306815","5022000","447.83","0.71","1-00468-0035","205 2 AVENUE","EAST VILLAGE","D1  -ELEVATOR","19","1950","10008","440252","43.99","135208","13.51","305044","2873000","287.07","0.55","2019"
"1-00851-0013","21 EAST 22 STREET","FLATIRON","D4  -ELEVATOR","135","1911","149276","8171368","54.74","2234662","14.97","5936706","48215000","322.99","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6  -ELEVATOR","77","1927","109393","5847056","53.45","1798421","16.44","4048635","33462000","305.89","0.05","1-00850-0064","12 EAST 22 STREET","FLATIRON","D7  -ELEVATOR","87","1911","78646","4305082","54.74","1177331","14.97","3127751","31451000","399.91","0.05","1-00850-0024","31 EAST 21 STREET","FLATIRON","D6  -ELEVATOR","19","1900","8300","479325","57.75","134709","16.23","344616","4017000","483.98","0.05","2019"
"1-00851-0028","33 EAST 22 STREET","FLATIRON","D4  -ELEVATOR","40","1938","32415","1409080","43.47","474231","14.63","934849","7592000","234.21","1-00850-0062","20 EAST 22 STREET","FLATIRON","D3  -ELEVATOR","23","1925","10512","445604","42.39","145066","13.8","300538","3919000","372.81","0.05","1-00818-0010","43 WEST 16 STREET","FLATIRON","D9  -ELEVATOR","95","1911","64049","2921275","45.61","1088833","17","1832442","21195000","330.92","0.35","1-00818-0019","27 WEST 16 STREET","FLATIRON","D5  -ELEVATOR","75","1907","41300","1795311","43.47","604219","14.63","1191092","12882000","311.91","0.35","2019"
"1-00857-0018","66 MADISON AVENUE","FLATIRON","D4  -ELEVATOR","138","1910","140000","6872600","49.09","2072000","14.8","4800600","38993000","278.52","1-00828-0001","776 AVENUE OF THE AMERICAS","FLATIRON","D8  -ELEVATOR","398","2000","454538","22240544","48.93","8436225","18.56","13804319","165343000","363.76","0.18","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6  -ELEVATOR","77","1927","109393","5370102","49.09","1887029","17.25","3483073","33462000","305.89","0.3","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1475595","50.1","496872","16.87","978723","8357000","283.74","0.33","2019"
"1-00858-0032","41 EAST 28 STREET","MURRAY HILL","D0  -ELEVATOR","20","1910","26615","1291626","48.53","448995","16.87","842631","6843000","257.11","1-00858-0014","80 MADISON AVENUE","MURRAY HILL","D6  -ELEVATOR","61","1923","60110","2820361","46.92","948536","15.78","1871825","20161000","335.4","0.09","1-00861-0027","31 EAST 31 STREET","MURRAY HILL","D7  -ELEVATOR","95","1914","91500","4621665","50.51","1555500","17","3066165","24020000","262.51","0.14","1-00887-0023","184 LEXINGTON AVENUE","MURRAY HILL","D7  -ELEVATOR","100","1984","97414","4727501","48.53","1643374","16.87","3084127","39506000","405.55","0.18","2019"
"1-00860-0027","33 EAST 30 STREET","MURRAY HILL","D4  -ELEVATOR","44","1906","41670","2099751","50.39","867153","20.81","1232598","10010000","240.22","1-00861-0027","31 EAST 31 STREET","MURRAY HILL","D7  -ELEVATOR","95","1914","91500","4651860","50.84","1363350","14.9","3288510","24020000","262.51","0.05","1-00886-0058","140 EAST 31 STREET","MURRAY HILL","D7  -ELEVATOR","34","1910","21236","1060313","49.93","325760","15.34","734553","2601000","122.48","0.19",,,,,,,,,,,,,,,,"2019"
"1-00862-0011","11 EAST 32 STREET","MURRAY HILL","D4  -ELEVATOR","83","1910","45920","2518253","54.84","577214","12.57","1941039","15764000","343.29","1-00886-0058","140 EAST 31 STREET","MURRAY HILL","D7  -ELEVATOR","34","1910","21236","1164582","54.84","266937","12.57","897645","2601000","122.48","0.3","1-00916-0035","655 2 AVENUE","MURRAY HILL","D7  -ELEVATOR","23","1982","14463","816147","56.43","224321","15.51","591826","4429000","306.23","0.44","1-00916-0064","535 3 AVENUE","MURRAY HILL","D6  -ELEVATOR","23","1910","13334","730970","54.82","198010","14.85","532960","4259000","319.41","0.44","2019"
"1-00862-0024","153 MADISON AVENUE","MURRAY HILL","D4  -ELEVATOR","119","1912","111227","5829407","52.41","1770734","15.92","4058673","32960000","296.33","1-00890-0005","15 PARK AVENUE","MURRAY HILL","D6  -ELEVATOR","102","1924","71115","3766250","52.96","1210377","17.02","2555873","26491000","372.51","0.15","1-00912-0036","577 2 AVENUE","MURRAY HILL","D5  -ELEVATOR","42","1915","30658","1598815","52.15","488075","15.92","1110740","9754000","318.16","0.32","1-00893-0082","108 EAST 38 STREET","MURRAY HILL","D6  -ELEVATOR","146","1930","110949","5764910","51.96","1816235","16.37","3948675","27408000","247.03","0.27","2019"
"1-00864-0041","16 PARK AVENUE","MURRAY HILL","D4  -ELEVATOR","67","1924","58841","3076796","52.29","1096208","18.63","1980588","16085000","273.36","1-00887-0023","184 LEXINGTON AVENUE","MURRAY HILL","D7  -ELEVATOR","100","1984","97414","5039226","51.73","1599538","16.42","3439688","39506000","405.55","0.18","1-00892-0001","41 PARK AVENUE","MURRAY HILL","D6  -ELEVATOR","119","1950","115221","6029515","52.33","2110849","18.32","3918666","29669000","257.5","0.14","1-00865-0032","20 PARK AVENUE","MURRAY HILL","D7  -ELEVATOR","102","1939","101306","5297291","52.29","1887331","18.63","3409960","26269000","259.3","0.05","2019"
"1-00865-0007","7 EAST 35 STREET","MURRAY HILL","D4  -ELEVATOR","58","1979","64598","3282870","50.82","1153074","17.85","2129796","17297000","267.76","1-00888-0031","153 EAST 32 STREET","MURRAY HILL","D5  -ELEVATOR","71","1920","62188","3160394","50.82","1110056","17.85","2050338","15825000","254.47","0.32","1-00862-0009","9 EAST 32 STREET","MURRAY HILL","D3  -ELEVATOR","77","1930","39740","1982231","49.88","747907","18.82","1234324","14248000","358.53","0.16","1-00914-0011","221 EAST 33 STREET","MURRAY HILL","D1  -ELEVATOR","45","1900","35508","1841090","51.85","630977","17.77","1210113","10386000","292.5","0.42","2019"
"1-00866-0064","220 MADISON AVENUE","MURRAY HILL","D4  -ELEVATOR","200","1941","211910","9605880","45.33","3155340","14.89","6450540","52397000","247.26","1-00865-0032","20 PARK AVENUE","MURRAY HILL","D7  -ELEVATOR","102","1939","101306","4779617","47.18","1753607","17.31","3026010","26269000","259.3","0.1","1-00865-0042","28 EAST 36 STREET","MURRAY HILL","D6  -ELEVATOR","119","1949","128072","5788854","45.2","1906992","14.89","3881862","24802000","193.66","0.1","1-00865-0024","35 EAST 35 STREET","MURRAY HILL","D6  -ELEVATOR","137","1955","132955","5916498","44.5","1907904","14.35","4008594","28674000","215.67","0.1","2019"
"1-00867-0029","29 EAST 37 STREET","MURRAY HILL","D4  -ELEVATOR","11","1925","7179","314584","43.82","107757","15.01","206827","1680000","234.02","1-00893-0015","121 EAST 37 STREET","MURRAY HILL","D1  -ELEVATOR","12","1920","7080","309184","43.67","91828","12.97","217356","1817000","256.64","0.1","1-00939-0021","333 EAST 33 STREET","KIPS BAY","D3  -ELEVATOR","13","1910","7860","345526","43.96","109411","13.92","236115","1788000","227.48","0.49",,,,,,,,,,,,,,,,"2019"
"1-00867-0033","31 EAST 37 STREET","MURRAY HILL","D4  -ELEVATOR","132","1940","127089","6140940","48.32","2442651","19.22","3698289","30036000","236.34","1-00892-0001","41 PARK AVENUE","MURRAY HILL","D6  -ELEVATOR","119","1950","115221","5572088","48.36","2179981","18.92","3392107","29669000","257.5","0.11","1-00865-0032","20 PARK AVENUE","MURRAY HILL","D7  -ELEVATOR","102","1939","101306","4895106","48.32","1947101","19.22","2948005","26269000","259.3","0.1","1-00865-0042","28 EAST 36 STREET","MURRAY HILL","D6  -ELEVATOR","119","1949","128072","5934856","46.34","2151610","16.8","3783246","24802000","193.66","0.1","2019"
"1-00867-0057","242 MADISON AVENUE","MURRAY HILL","D4  -ELEVATOR","186","1916","142836","7083237","49.59","1869723","13.09","5213514","42342000","296.44","1-00866-0013","15 EAST 36 STREET","MURRAY HILL","D6  -ELEVATOR","56","1940","43696","2166885","49.59","571981","13.09","1594904","9213000","210.84","0.05","1-00890-0005","15 PARK AVENUE","MURRAY HILL","D6  -ELEVATOR","102","1924","71115","3528726","49.62","1041835","14.65","2486891","26491000","372.51","0.24","1-00912-0036","577 2 AVENUE","MURRAY HILL","D5  -ELEVATOR","42","1915","30658","1496417","48.81","415416","13.55","1081001","9754000","318.16","0.5","2019"
"1-00868-0028","27 EAST 38 STREET","MURRAY HILL","D4  -ELEVATOR","20","1925","9958","515924","51.81","180837","18.16","335087","2721000","273.25","1-00862-0009","9 EAST 32 STREET","MURRAY HILL","D3  -ELEVATOR","77","1930","39740","2041046","51.36","715320","18","1325726","14248000","358.53","0.32","1-00893-0015","121 EAST 37 STREET","MURRAY HILL","D1  -ELEVATOR","12","1920","7080","366815","51.81","128573","18.16","238242","1817000","256.64","0.11","1-00918-0010","213 EAST 37 STREET","MURRAY HILL","D3  -ELEVATOR","34","1925","20269","1089459","53.75","353897","17.46","735562","7720000","380.88","0.32","2019"
"1-00871-0007","105 EAST 15 STREET","GRAMERCY","D4  -ELEVATOR","71","1900","37802","1999348","52.89","459672","12.16","1539676","12504000","330.78","1-00897-0071","206 EAST 17 STREET","GRAMERCY","D3  -ELEVATOR","27","1910","15416","826914","53.64","222453","14.43","604461","6521000","423","0.2","1-00874-0061","76 IRVING PLACE","GRAMERCY","D1  -ELEVATOR","22","1910","12492","658328","52.7","169017","13.53","489311","2659000","212.86","0.17","1-00903-0013","217 EAST 22 STREET","GRAMERCY","D2  -ELEVATOR","35","1920","17526","926950","52.89","213116","12.16","713834","6529000","372.53","0.39","2019"
"1-00871-0021","22 IRVING PLACE","GRAMERCY","D4  -ELEVATOR","29","1945","16200","791694","48.87","239598","14.79","552096","4484000","276.79","1-00874-0061","76 IRVING PLACE","GRAMERCY","D1  -ELEVATOR","22","1910","12492","610484","48.87","184757","14.79","425727","2659000","212.86","0.14","1-00903-0013","217 EAST 22 STREET","GRAMERCY","D2  -ELEVATOR","35","1920","17526","859826","49.06","235374","13.43","624452","6529000","372.53","0.35","1-00873-0028","135 EAST 17 STREET","GRAMERCY","D3  -ELEVATOR","45","1963","22512","1086654","48.27","375275","16.67","711379","7753000","344.39","0.09","2019"
"1-00871-0029","131 EAST 15 STREET","GRAMERCY","C6  -WALK-UP","13","1920","8104","388911","47.99","102840","12.69","286071","2323000","286.65","1-00871-0050","140 EAST 16 STREET","GRAMERCY","C5  -WALK-UP","34","1910","6718","322800","48.05","78399","11.67","244401","2696000","401.31","0","1-00921-0016","327 EAST 14 STREET","KIPS BAY","C5  -WALK-UP","11","1910","5431","260634","47.99","68919","12.69","191715","1437000","264.59","0.26","1-00901-0038","240 EAST 21 STREET","GRAMERCY","C1  -WALK-UP","24","1920","14658","688047","46.94","191433","13.06","496614","5840000","398.42","0.26","2019"
"1-00871-0030","133 EAST 15 STREET","GRAMERCY","C6  -WALK-UP","15","1900","9535","474938","49.81","146267","15.34","328671","2669000","279.92","1-00904-0033","234 EAST 24 STREET","GRAMERCY","C4  -WALK-UP","16","1910","8295","414335","49.95","102443","12.35","311892","3219000","388.07","0.4","1-00924-0009","309 EAST 18 STREET","KIPS BAY","C4  -WALK-UP","20","1920","8680","431136","49.67","88276","10.17","342860","2314000","266.59","0.3",,,,,,,,,,,,,,,,"2019"
"1-00871-0039","145 EAST 15 STREET","GRAMERCY","D4  -ELEVATOR","249","1959","193695","8704653","44.94","2525783","13.04","6178870","50182000","259.08","1-00872-0035","166 3 AVENUE","GRAMERCY","D6  -ELEVATOR","236","1963","236064","10058687","42.61","3396961","14.39","6661726","54106000","229.2","0.05","1-00874-0073","106 EAST 19 STREET","GRAMERCY","D7  -ELEVATOR","13","1911","27585","1239670","44.94","359708","13.04","879962","7145000","259.02","0.17","1-00896-0015","231 EAST 14 STREET","GRAMERCY","D5  -ELEVATOR","11","1915","13788","939652","68.15","282516","20.49","657136","5337000","387.08","0.13","2019"
"1-00871-0044","160 3 AVENUE","GRAMERCY","D4  -ELEVATOR","151","1963","111428","5710685","51.25","1660277","14.9","4050408","32892000","295.19","1-00896-0048","135 3 AVENUE","GRAMERCY","D6  -ELEVATOR","221","1962","158505","8286641","52.28","2374405","14.98","5912236","40179000","253.49","0.13","1-00904-9024","401 2 AVENUE","GRAMERCY","D3  -ELEVATOR","169","1974","200299","10059016","50.22","2433633","12.15","7625383","40311000","201.25","0.4",,,,,,,,,,,,,,,,"2019"
"1-00872-0053","130 EAST 17 STREET","GRAMERCY","C6  -WALK-UP","13","1930","7670","408121","53.21","88742","11.57","319379","2594000","338.2","1-00901-0047","222 EAST 21 STREET","GRAMERCY","C5  -WALK-UP","20","1920","9475","507292","53.54","126112","13.31","381180","3302000","348.5","0.22","1-00871-0050","140 EAST 16 STREET","GRAMERCY","C5  -WALK-UP","34","1910","6718","357465","53.21","77727","11.57","279738","2696000","401.31","0.05","1-00901-0045","224 EAST 21 STREET","GRAMERCY","C5  -WALK-UP","28","1920","15989","780583","48.82","146779","9.18","633804","4930000","308.34","0.22","2019"
"1-00873-0019","130 EAST 18 STREET","GRAMERCY","D4  -ELEVATOR","273","1962","187543","8949552","47.72","3319511","17.7","5630041","45724000","243.81","1-00875-0003","239 PARK AVENUE SOUTH","GRAMERCY","D6  -ELEVATOR","46","1911","51122","2510090","49.1","786768","15.39","1723322","23954000","468.57","0.13","1-00904-9024","401 2 AVENUE","GRAMERCY","D3  -ELEVATOR","169","1974","200299","9219763","46.03","2998476","14.97","6221287","40311000","201.25","0.32","1-00872-0035","166 3 AVENUE","GRAMERCY","D6  -ELEVATOR","236","1963","236064","11264974","47.72","4178333","17.7","7086641","54106000","229.2","0.05","2019"
"1-00873-0059","61 IRVING PLACE","GRAMERCY","D4  -ELEVATOR","32","1950","40904","2043973","49.97","541978","13.25","1501995","12198000","298.21","1-00872-0069","112 EAST 17 STREET","GRAMERCY","D1  -ELEVATOR","12","1910","21335","1072084","50.25","282049","13.22","790035","3868000","181.3","0.05","1-00901-0021","237 EAST 20 STREET","GRAMERCY","D3  -ELEVATOR","72","1929","74120","3695623","49.86","1010256","13.63","2685367","14256000","192.34","0.26","1-00872-0050","140 EAST 17 STREET","GRAMERCY","D1  -ELEVATOR","44","1910","29796","1488906","49.97","394797","13.25","1094109","7687000","257.99","0.11","2019"
"1-00874-0054","132 EAST 19 STREET","GRAMERCY","D4  -ELEVATOR","19","1910","17934","848458","47.31","229376","12.79","619082","5028000","280.36","1-00901-0021","237 EAST 20 STREET","GRAMERCY","D3  -ELEVATOR","72","1929","74120","3506617","47.31","947995","12.79","2558622","14256000","192.34","0.15","1-00934-0020","339 EAST 28 STREET","KIPS BAY","D8  -ELEVATOR","123","1900","110139","5163316","46.88","1592610","14.46","3570706","27824000","252.63","0.52","1-00872-0050","140 EAST 17 STREET","GRAMERCY","D1  -ELEVATOR","44","1910","29796","1412628","47.41","370066","12.42","1042562","7687000","257.99","0.09","2019"
"1-00874-0069","112 EAST 19 STREET","GRAMERCY","D0  -ELEVATOR","26","1913","55049","2893926","52.57","655634","11.91","2238292","18178000","330.21","1-00875-0003","239 PARK AVENUE SOUTH","GRAMERCY","D6  -ELEVATOR","46","1911","51122","2754453","53.88","618576","12.1","2135877","23954000","468.57","0.05","1-00878-0004","295 PARK AVENUE SOUTH","GRAMERCY","D6  -ELEVATOR","187","1900","145299","7638368","52.57","1730511","11.91","5907857","70182000","483.02","0.19","1-00879-0017","131 EAST 23 STREET","GRAMERCY","D6  -ELEVATOR","67","1925","56670","2959874","52.23","729343","12.87","2230531","16901000","298.24","0.25","2019"
"1-00875-0008","105 EAST 19 STREET","GRAMERCY","D4  -ELEVATOR","25","1920","26263","1168966","44.51","273923","10.43","895043","7269000","276.78","1-00901-0021","237 EAST 20 STREET","GRAMERCY","D3  -ELEVATOR","72","1929","74120","3290928","44.4","801237","10.81","2489691","14256000","192.34","0.22","1-00872-0050","140 EAST 17 STREET","GRAMERCY","D1  -ELEVATOR","44","1910","29796","1326220","44.51","310772","10.43","1015448","7687000","257.99","0.17","1-00878-0028","145 EAST 22 STREET","GRAMERCY","D1  -ELEVATOR","48","1940","32610","1457993","44.71","401429","12.31","1056564","7435000","228","0.17","2019"
"1-00875-0019","81 IRVING PLACE","GRAMERCY","D4  -ELEVATOR","103","1930","72501","3405372","46.97","1203517","16.6","2201855","17882000","246.64","1-00878-0028","145 EAST 22 STREET","GRAMERCY","D1  -ELEVATOR","48","1940","32610","1531692","46.97","541326","16.6","990366","7435000","228","0.17","1-00872-0050","140 EAST 17 STREET","GRAMERCY","D1  -ELEVATOR","44","1910","29796","1393857","46.78","438597","14.72","955260","7687000","257.99","0.17","1-00882-0056","142 EAST 27 STREET","GRAMERCY","D1  -ELEVATOR","42","1930","30777","1454213","47.25","503512","16.36","950701","5761000","187.19","0.35","2019"
"1-00875-0025","82 IRVING PLACE","GRAMERCY","D4  -ELEVATOR","42","1950","28500","1280505","44.93","304380","10.68","976125","7928000","278.18","1-00872-0050","140 EAST 17 STREET","GRAMERCY","D1  -ELEVATOR","44","1910","29796","1333073","44.74","261907","8.79","1071166","7687000","257.99","0.14","1-00878-0028","145 EAST 22 STREET","GRAMERCY","D1  -ELEVATOR","48","1940","32610","1465167","44.93","348275","10.68","1116892","7435000","228","0.14","1-00882-0056","142 EAST 27 STREET","GRAMERCY","D1  -ELEVATOR","42","1930","30777","1391428","45.21","321004","10.43","1070424","5761000","187.19","0.34","2019"
